url,status,last_page
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1495,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1515,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1560,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1565,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1570,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1590,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1595,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1602,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1630,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1635,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1640,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1655,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1670,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1675,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1680,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1685,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1700,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1710,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1715,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1730,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1750,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1755,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1765,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1790,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1800,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1811,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1825,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1835,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1860,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1871,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1874,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1875,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1885,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=1890,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2000,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2001,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2004,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2006,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2007,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2008,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2009,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2010,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2011,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2015,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2016,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2017,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2018,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2019,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2020,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2021,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2022,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2023,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2024,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2026,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2027,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2028,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2029,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2030,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2031,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2032,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2033,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2034,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2035,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2036,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2037,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2038,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2039,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2040,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2041,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2042,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2043,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2044,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2045,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2046,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2047,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2048,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2049,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2050,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2055,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2057,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2059,completed,1
https://www.domain.com.au/sale/?excludeunderoffer=1&ssubs=0&postcode=2060,completed,1
