agent_name,agency_name,price,address_line1,suburb,state,postcode,bedrooms,bathrooms,car_spaces,SQM,listing_card_tag,alt_image,property_type
Arthur Syrios,McGrath Strathfield,Auction | Contact Agent,"7 The Terrace,",ABBOTSFORD,NSW,2046,4,3,2,0,NEW,Arthur Syrios,House
Sam Yazdi,Ray White Quakers Hill - Tesolin Group,"AUCTION GUIDE $2,200,000 - MUST BE SOLD !","17 Taylor Street,",FIVE DOCK,NSW,2046,3,2,1,500m²,NEW,Sam Yazdi,House
Dib Chidiac,DibChidiac®,"Buyers guide $5,300,000","15 Preston Avenue,",FIVE DOCK,NSW,2046,5,4,2,467m²,NEW,Dib Chidiac,House
Sam Varrica,Raine & Horne Five Dock | Drummoyne,Preview | Contact Agent,"13 Brent Street,",RUSSELL LEA,NSW,2046,6,3,3,0,NEW,Sam Varrica,House
Antonio Ariola,Belle Property Drummoyne,Auction - contact agent,"23 Rowley Road,",RUSSELL LEA,NSW,2046,2,1,1,265m²,NEW,Antonio Ariola,House
Chad Egan,CobdenHayson Drummoyne,Contact Agent,"8 Charles Street,",FIVE DOCK,NSW,2046,4,3,2,0,NEW,Chad Egan,House
Chad Egan,CobdenHayson Drummoyne,Contact Agent,"47A St Albans Street,",ABBOTSFORD,NSW,2046,5,4,3,530m²,NEW,Chad Egan,House
Matt Ward,McGrath Hunters Hill,"Price Guide $3,700,000","64A Russell Street,",RUSSELL LEA,NSW,2046,5,3,2,0,NEW,Matt Ward,House
Christian Leung,Ray White Concord | Five Dock,Auction - Contact Agent,"30 Bouvardia Street,",RUSSELL LEA,NSW,2046,3,2,1,309m²,NEW,Christian Leung,House
Antonio Ariola,Belle Property Drummoyne,Auction - contact agent,"317 Great North Road,",FIVE DOCK,NSW,2046,2,1,1,321m²,NEW,Antonio Ariola,House
Fayez Yammine,The Agency Inner West - Drummoyne,Forthcoming Auction,"4/1 Figtree Avenue,",ABBOTSFORD,NSW,2046,3,2,2,239m²,NEW,Fayez Yammine,Apartment / Unit / Flat
Daniel Ozmen,Belle Property Strathfield,"Auction, Guide $4,500,000","10A Rickard Street,",RODD POINT,NSW,2046,4,5,3,328m²,NEW,Daniel Ozmen,House
Fayez Yammine,The Agency Inner West - Drummoyne,"For Sale - $1,180,000","249/4 Bechert Road,",CHISWICK,NSW,2046,2,2,1,122m²,,Fayez Yammine,Apartment / Unit / Flat
Norman So,Belle Property Strathfield,Auction,"21 Bayview Road,",CANADA BAY,NSW,2046,5,6,4,0,UPDATED,Norman So,House
Mario Carbone,Ray White Drummoyne,Auction | Mario Carbone & Jessica Carbone,"3/42 Sibbick Street,",RUSSELL LEA,NSW,2046,3,2,1,0,UPDATED,Mario Carbone,Apartment / Unit / Flat
Mario Carbone,Ray White Drummoyne,Auction | Mario Carbone & Jessica Carbone,"14/11 Abbotsford Parade,",ABBOTSFORD,NSW,2046,2,1,2,0,UPDATED,Mario Carbone,Apartment / Unit / Flat
Paul Pettenon,Raine & Horne Concord/Strathfield,"Auction Guide | $900,000","5/1 Bortfield Drive,",CHISWICK,NSW,2046,2,1,1,0,UPDATED,Paul Pettenon,Apartment / Unit / Flat
Beryl Fan,Ray White Drummoyne,Auction| Beryl Fan,"26/1 Kings Bay Avenue,",FIVE DOCK,NSW,2046,2,2,1,0,AUCTION FRI 14 FEB,Beryl Fan,Apartment / Unit / Flat
Giorgio Koula,Sydney Sotheby's International Realty,"For Sale $3,950,000","26 Figtree Avenue,",ABBOTSFORD,NSW,2046,4,3,3,0,UPDATED,Giorgio Koula,House
Chad Egan,CobdenHayson Drummoyne,Contact Agent - 1st Open 5th Feb,"25a Lea Avenue,",RUSSELL LEA,NSW,2046,5,4,2,348m²,,Chad Egan,Semi-detached
,,"$1,320,000","3/18 Rokeby Road,",ABBOTSFORD,NSW,2046,2,2,1,0,SOLD,"Picture of 3/18 Rokeby Road, ABBOTSFORD NSW 2046",Townhouse
,,"$1,375,000","9/9 Bortfield Drive,",CHISWICK,NSW,2046,3,1,1,0,SOLD,"Picture of 9/9 Bortfield Drive, CHISWICK NSW 2046",Apartment / Unit / Flat
,,"$2,580,000","218 Great North Road,",FIVE DOCK,NSW,2046,3,1,1,638m²,SOLD,"Picture of 218 Great North Road, FIVE DOCK NSW 2046",House
Melissa Strazzeri,Belle Property Drummoyne,Auction - contact agent,"7/1 Kings Bay Avenue,",FIVE DOCK,NSW,2046,2,2,1,0,,Melissa Strazzeri,Apartment / Unit / Flat
Tarun Sethi,McGrath Strathfield,Forthcoming Auction,"33 Wymston Parade,",WAREEMBA,NSW,2046,4,3,2,363m²,,Tarun Sethi,Semi-detached
Jacob Saleh,Horwood Nolan,Auction,"10/119-123 Regatta Road,",CANADA BAY,NSW,2046,2,1,2,0,,Jacob Saleh,Apartment / Unit / Flat
Matt Ward,McGrath Hunters Hill,"Price Guide $3,250,000","23 Mons Street,",RUSSELL LEA,NSW,2046,4,2,2,581m²,,Matt Ward,House
Adrian Gough,CobdenHayson Drummoyne,Buyer's Guide $3m,"20 Myalora Street,",RUSSELL LEA,NSW,2046,3,2,3,556m²,,Adrian Gough,House
Leon Chan,Leaders Estate Agents,"Auction 8th March, unless sold prior","9/443-447 Lyons Road,",FIVE DOCK,NSW,2046,3,2,2,0,,Leon Chan,Townhouse
Sam Varrica,Raine & Horne Five Dock | Drummoyne,Preview | Contact Agent,"2/104 William Street,,",FIVE DOCK,NSW,2046,3,3,2,0,,Sam Varrica,Townhouse
