agent_name,agency_name,price,address_line1,suburb,state,postcode,bedrooms,bathrooms,car_spaces,SQM,listing_card_tag,alt_image,property_type
Katie Williams,Williams Morley Real Estate,Auction unless sold prior,"64 Wideview Road,",BEROWRA HEIGHTS,NSW,2082,3,2,1,695m²,NEW,"Picture of 64 Wideview Road, BEROWRA HEIGHTS NSW 2082",House
Noel Zammit,DiJones - Neutral Bay,Auction - Contact Agent,"28 Lingellen Street,",BEROWRA HEIGHTS,NSW,2082,5,2,2,0,NEW,"Picture of 28 Lingellen Street, BEROWRA HEIGHTS NSW 2082",House
Dean Finch,Stone Real Estate,"Guide $1,680,000","3 Cliffview Road,",BEROWRA HEIGHTS,NSW,2082,4,3,3,705m²,NEW,Dean Finch,House
Gabrielle Nagy,McGrath Berowra,"For Sale | $875,000 - $925,000","15/6-12 Kita Road,",BEROWRA HEIGHTS,NSW,2082,2,1,1,0,,Gabrielle Nagy,Townhouse
Andrew Searle,Belle Property Wahroonga | Hornsby | Pymble | Thornleigh,"$690,000 to $740,000","23 Coba Point,",BEROWRA WATERS,NSW,2082,2,1,0,771m²,,Andrew Searle,House
Ingrid Stewart,McGrath Berowra,For Sale | Contact Agent,"76 Alan Road,",BEROWRA HEIGHTS,NSW,2082,3,1,3,"1,107m²",,Ingrid Stewart,House
Ingrid Stewart,McGrath Berowra,"For Sale | $1,600,000","5 Joalah Crescent,",BEROWRA HEIGHTS,NSW,2082,4,2,2,809m²,,Ingrid Stewart,House
Caelia Collins,Riverfront Real Estate,"FOR SALE - $850,000","19 Coba Point,",BEROWRA WATERS,NSW,2082,2,1,0,733m²,,Caelia Collins,House
Ingrid Stewart,McGrath Berowra,Contact Agent,"7 Turner Road,",BEROWRA HEIGHTS,NSW,2082,4,1,1,891m²,,Ingrid Stewart,House
Ingrid Stewart,McGrath Berowra,For Sale | Contact Agent,"95 Wideview Road,",BEROWRA HEIGHTS,NSW,2082,3,1,1,616m²,,Ingrid Stewart,House
Caelia Collins,Riverfront Real Estate,FOR SALE - Price on Application,"26 Marra Marra Creek,",BEROWRA WATERS,NSW,2082,2,1,0,790m²,,Caelia Collins,House
Sue Elliott,Belle Property Wahroonga | Hornsby | Pymble | Thornleigh,For Sale,"23 Silverwater Reach,",BEROWRA WATERS,NSW,2082,4,2,0,0,,Sue Elliott,House
Chelsea Peach,Riverfront Real Estate,"FOR SALE - $950,000","10 Coba Point,",BEROWRA WATERS,NSW,2082,3,2,0,792m²,,Riverfront Real Estate,House
,,For Sale | Contact Agent,"5/6-12 Kita Road,",BEROWRA HEIGHTS,NSW,2082,2,1,1,0,,McGrath Berowra,Townhouse
,,Contact Agent,"4 Fishermans Point,",BEROWRA WATERS,NSW,2082,0,0,0,0,,LJ Hooker Terrigal,Vacant land
,,"$1,550,000 - $1,650,000","12 Gooraway Place,",BEROWRA HEIGHTS,NSW,2082,4,2,2,748m²,NEW,Cass Property,House
,,"$1,190,000 - $1,240,000","23 Collingridge Point,",BEROWRA WATERS,NSW,2082,2,1,0,0,,No Agent Property,House
,,Contact Agent,"30 Neverfail Bay,",BEROWRA WATERS,NSW,2082,2,2,0,0,,Belle Property Wahroonga | Hornsby | Pymble | Thornleigh,House
,,"FOR SALE $360,000","51 Coba Point,",BEROWRA WATERS,NSW,2082,0,0,0,0,,Riverfront Real Estate,Vacant land
,,For Sale,"6 Calabash Point,",BEROWRA WATERS,NSW,2082,4,2,0,530m²,,Sale by Home Owner,House
,,"$1,200,000","7/3-5 Turner Road,",BEROWRA HEIGHTS,NSW,2082,3,2,1,0,SOLD,"Picture of 7/3-5 Turner Road, BEROWRA HEIGHTS NSW 2082",Townhouse
,,"$1,500,000","3/2-4 Kita Road,",BEROWRA HEIGHTS,NSW,2082,4,2,3,253m²,SOLD,"Picture of 3/2-4 Kita Road, BEROWRA HEIGHTS NSW 2082",Townhouse
,,"$1,417,000","5 Norton Court,",BEROWRA HEIGHTS,NSW,2082,3,2,2,740m²,SOLD,"Picture of 5 Norton Court, BEROWRA HEIGHTS NSW 2082",House
,,"$690,000","Lot 7/31 Calabash Point,",BEROWRA WATERS,NSW,2082,0,0,0,0,,"Picture of Lot 7/31 Calabash Point, BEROWRA WATERS NSW 2082",Vacant land
,,"$395,000","9 Coba Point,",BEROWRA WATERS,NSW,2082,0,0,0,0,,"Picture of 9 Coba Point, BEROWRA WATERS NSW 2082",Vacant land
,,"$1,550,000","6 Calabash Point,",BEROWRA WATERS,NSW,2082,4,2,0,530m²,,"Picture of 6 Calabash Point, BEROWRA WATERS NSW 2082",House
,,"$1,200,000","7/3-5 Turner Road,",BEROWRA HEIGHTS,NSW,2082,3,2,1,0,SOLD,"Picture of 7/3-5 Turner Road, BEROWRA HEIGHTS NSW 2082",Townhouse
,,"$1,500,000","3/2-4 Kita Road,",BEROWRA HEIGHTS,NSW,2082,4,2,3,253m²,SOLD,"Picture of 3/2-4 Kita Road, BEROWRA HEIGHTS NSW 2082",Townhouse
,,"$1,417,000","5 Norton Court,",BEROWRA HEIGHTS,NSW,2082,3,2,2,740m²,SOLD,"Picture of 5 Norton Court, BEROWRA HEIGHTS NSW 2082",House
