agent_name,agency_name,price,address_line1,suburb,state,postcode,bedrooms,bathrooms,car_spaces,SQM,listing_card_tag,alt_image,property_type
David Gillan,Ray White Lower North Shore Group,Auction - Contact David,"95 Union Street,",MCMAHONS POINT,NSW,2060,4,3,2,317m²,,"Picture of 95 Union Street, MCMAHONS POINT NSW 2060",House
Martin Forward,One Agency Middle Harbour,Auction (if not sold prior),"8/104 Bay Road,",WAVERTON,NSW,2060,2,1,1,0,NEW,"Picture of 8/104 Bay Road, WAVERTON NSW 2060",Apartment / Unit / Flat
Michael Coombs,Atlas | Lower North Shore,Contact Agent,"51 Blues Point Road,",MCMAHONS POINT,NSW,2060,4,3,4,0,NEW,Michael Coombs,House
Trevor Richardson,McGrath Crows Nest,Price on Request,"2402/168 Walker Street,",NORTH SYDNEY,NSW,2060,3,3,2,204m²,NEW,Trevor Richardson,Apartment / Unit / Flat
Sean St Clair,Holmes St. Clair,Price Guide - Contact Agent,"1004/231 Miller Street,",NORTH SYDNEY,NSW,2060,2,1,1,0,NEW,Sean St Clair,Apartment / Unit / Flat
Mark Jackson,Belle Property Neutral Bay,Auction - Saturday 8th March,"6/21 East Crescent Street,",MCMAHONS POINT,NSW,2060,2,1,1,0,NEW,Mark Jackson,Apartment / Unit / Flat
Craig Litchfield,McMahons Point Real Estate,Contact Agent,"21/100 High Street,",NORTH SYDNEY,NSW,2060,1,1,1,0,NEW,Craig Litchfield,Apartment / Unit / Flat
Louise Barton,BresicWhitney Lower North Shore,"Guide $2,200,000","14D/50 Whaling Road,",NORTH SYDNEY,NSW,2060,2,1,1,0,NEW,Louise  Barton,Apartment / Unit / Flat
Helen Wilson,Belle Property Neutral Bay,Auction - Sat 8 March,"11 Walker Street,",LAVENDER BAY,NSW,2060,4,3,2,297m²,NEW,Helen Wilson,House
Spencer (zijing) Zhang,Linfield Property Agents,Just List l Spencer Zhang,"303/225 Pacific Highway,",NORTH SYDNEY,NSW,2060,0,1,0,0,NEW,Linfield Property Agents,Apartment / Unit / Flat
Stewart Robertson,Aurora Property Lower North Shore,Contact Agent,"1401/138 Walker Street,",NORTH SYDNEY,NSW,2060,2,2,1,0,NEW,Stewart Robertson,Apartment / Unit / Flat
Donovan Murphy,DiJones - Neutral Bay,Auction - Contact Agent,"9 Thomas Street,",MCMAHONS POINT,NSW,2060,3,2,1,0,NEW,Donovan Murphy,House
Christian Percuoco,Belle Property Crows Nest,For Sale - Contact Agent,"2/85 Bay Road,",WAVERTON,NSW,2060,3,2,1,0,NEW,Christian Percuoco,Townhouse
Peter Chauncy,McGrath Crows Nest,Auction Guide: Price on request,"2 Ross Street,",WAVERTON,NSW,2060,4,3,2,0,NEW,Peter Chauncy,House
Robert Holmes,Holmes St. Clair,"Auction Guide - $1,150,000","21/166 Pacific Highway,",NORTH SYDNEY,NSW,2060,2,2,2,0,,Robert Holmes,Apartment / Unit / Flat
Victoria Liu,Richardson & Wrench North Sydney,For Sale - Contact Agent,"1015/225 Pacific Highway,",NORTH SYDNEY,NSW,2060,1,1,1,0,UPDATED,Victoria Liu,Apartment / Unit / Flat
