agent_name,agency_name,price,address_line1,suburb,state,postcode,bedrooms,bathrooms,car_spaces,SQM,listing_card_tag,alt_image,property_type
James Perlowski,Belle Property Surry Hills,Auction 1st March,"1103/7-9 Gibbons Street,",REDFERN,NSW,2016,2,2,1,0,NEW,James Perlowski,Apartment / Unit / Flat
James Perlowski,Belle Property Surry Hills,Auction 1st March,"36/128-158 George Street,",REDFERN,NSW,2016,2,1,1,0,NEW,James Perlowski,Apartment / Unit / Flat
Namir Mikha,Adrian William Real Estate,"Guide $1,200,000","98 George Street,",REDFERN,NSW,2016,2,1,0,75m²,NEW,Namir Mikha,House
Charles Touma,Ray White Touma Taylor,Auction 1st March,"25/114 Pitt Street,",REDFERN,NSW,2016,3,2,2,0,NEW,Charles Touma,House
Giles Colliver,Adrian William Real Estate,"Guide $1,500,000","18/71 Renwick Street,",REDFERN,NSW,2016,2,2,1,0,,Giles Colliver,Apartment / Unit / Flat
Maclay Longhurst,Sydney Sotheby's International Realty,"Buyers guide $4,750,000","74 Great Buckingham Street,",REDFERN,NSW,2016,5,5,1,0,UPDATED,Maclay Longhurst,Terrace
James Perlowski,Belle Property Surry Hills,Auction 22nd February,"83/8 Renwick Street,",REDFERN,NSW,2016,2,2,1,122m²,,James Perlowski,Apartment / Unit / Flat
Julian Barta,Bradfield BadgerFox,FOR SALE,"74/253 Chalmers Street,",REDFERN,NSW,2016,1,1,1,0,,Julian Barta,Apartment / Unit / Flat
Ted Pye,Belle Property Surry Hills,Auction 22nd February,"3/1-9 Thurlow Street,",REDFERN,NSW,2016,1,1,1,0,,Ted Pye,Apartment / Unit / Flat
Charles Touma,Ray White Touma Taylor,Auction 22nd February,"8 Young Street,",REDFERN,NSW,2016,2,1,1,112m²,,Charles Touma,House
Kristian Nelson-Marshall,City Residential Property,Contact agent,"503/6 Baptist Street,",REDFERN,NSW,2016,1,1,0,67m²,,Kristian Nelson-Marshall,Apartment / Unit / Flat
David Smith-Cameron,BresicWhitney Inner East,"Guide $800,000","23/52-60 Renwick Street (Access via Wells Street),",REDFERN,NSW,2016,1,1,1,0,,David Smith-Cameron,Apartment / Unit / Flat
Shannan Whitney,BresicWhitney Inner East,"Guide $4,250,000","1702/1B Lawson Square,",REDFERN,NSW,2016,3,3,4,0,,Shannan Whitney,Apartment / Unit / Flat
Lilian Qian,Town & Country Project Marketing Group Pty Ltd,"$688,000","3 35-37 Renwick Street,",REDFERN,NSW,2016,1,1,0,0,,Lilian Qian,Apartment / Unit / Flat
Nick Moraitis,Highland Inner West,Auction,"165 Regent Street,",REDFERN,NSW,2016,4,1,0,88m²,,Nick Moraitis,House
Brigitte Blackman,BresicWhitney Inner East,Contact agent,"21/52-60 Renwick Street,",REDFERN,NSW,2016,2,2,1,0,,Brigitte Blackman,Apartment / Unit / Flat
Wes Smuts,McGrath Surry Hills,"Guide $1,800,000 - $1,980,000","H5/780 Bourke Street,",REDFERN,NSW,2016,3,2,2,0,,Wes  Smuts,Apartment / Unit / Flat
Bryan Yu,Raine & Horne Burwood,"$659,000","T802/1B Lawson Square,",REDFERN,NSW,2016,0,1,0,0,,Bryan Yu,Studio
Trisiana Muljono,SydneyLinks Real Estate,$1.85 m-$1.9 m,"1806/7-9 Gibbons Street,",REDFERN,NSW,2016,2,2,2,0,,Trisiana Muljono,Apartment / Unit / Flat
Maclay Longhurst,Sydney Sotheby's International Realty,"Buyers guide $5,500,000","6.02/14 Baptist Street,",REDFERN,NSW,2016,3,2,2,0,,Maclay Longhurst,Penthouse
,,"$1,200,000","1602/7-9 Gibbons Street,",REDFERN,NSW,2016,2,2,1,0,SOLD,"Picture of 1602/7-9 Gibbons Street, REDFERN NSW 2016",Apartment / Unit / Flat
,,"$1,275,000","25/758 Bourke Street,",REDFERN,NSW,2016,2,2,1,0,SOLD,"Picture of 25/758 Bourke Street, REDFERN NSW 2016",Apartment / Unit / Flat
,,"$1,402,000","36/52 Renwick Street,",REDFERN,NSW,2016,2,2,1,0,SOLD,"Picture of 36/52 Renwick Street, REDFERN NSW 2016",Apartment / Unit / Flat
Mark Foy,McGrath Surry Hills,"Price Guide $1,900,000","18 Marriott Street,",REDFERN,NSW,2016,2,1,0,0,AUCTION SAT 8 FEB,"Picture of 18 Marriott Street, REDFERN NSW 2016",House
,,"For Sale $850,000 - $870,000","3/137-141 Regent Street,",REDFERN,NSW,2016,2,2,0,0,,"Picture of 3/137-141 Regent Street, REDFERN NSW 2016",Apartment / Unit / Flat
,,Contact Agent,"C208/14 Baptist Street,",REDFERN,NSW,2016,2,2,1,0,,Toga Sales & Leasing,Apartment / Unit / Flat
,,Modern inner city terraces nearing completion.,"3-15 Marriott Street,",REDFERN,NSW,2016,3,2,1,0,,Toga Sales & Leasing,Terrace
,,"From $2,075,000","6-8 Baptist St,",REDFERN,NSW,2016,2,2,1,0,,Toga Sales & Leasing,Apartment / Unit / Flat
,,Exquisite 3 bedroom apartments complete and ready to occupy.,"6-8 Baptist St,",REDFERN,NSW,2016,3,2,1,0,,Toga Sales & Leasing,Apartment / Unit / Flat
,,Contact Agent,"T802/1B Lawson Square,",REDFERN,NSW,2016,0,1,0,58m²,,Leaders Estate Agents,Studio
,,Contact Agent,"602/1B Lawson Square,",REDFERN,NSW,2016,0,1,0,0,,OXBRIDGE GLOBAL REAL ESTATE,Apartment / Unit / Flat
,,"Price Guide: $770,000.00","1404/1 Lawson Square,",REDFERN,NSW,2016,0,1,0,53m²,,SBP Realty,Studio
,,Contact Agent,"Tower 1 1 Lawson Square,",REDFERN,NSW,2016,0,1,0,0,,SBP Realty,Studio
,,"$1,200,000","1602/7-9 Gibbons Street,",REDFERN,NSW,2016,2,2,1,0,SOLD,"Picture of 1602/7-9 Gibbons Street, REDFERN NSW 2016",Apartment / Unit / Flat
,,"$1,275,000","25/758 Bourke Street,",REDFERN,NSW,2016,2,2,1,0,SOLD,"Picture of 25/758 Bourke Street, REDFERN NSW 2016",Apartment / Unit / Flat
,,"$1,402,000","36/52 Renwick Street,",REDFERN,NSW,2016,2,2,1,0,SOLD,"Picture of 36/52 Renwick Street, REDFERN NSW 2016",Apartment / Unit / Flat
