agent_name,agency_name,price,address_line1,suburb,state,postcode,bedrooms,bathrooms,car_spaces,SQM,listing_card_tag,alt_image,property_type
Nicholas Economos,Ray White Rockdale,Auction,"15 O'Meara Street,",CARLTON,NSW,2218,4,2,2,474m²,UPDATED,"Picture of 15 O'Meara Street, CARLTON NSW 2218",House
Nick (Nicolaos) Reskakis,PRDnationwide Kogarah,"For Sale $730,000","9/2-4 Mill Street,",CARLTON,NSW,2218,2,1,1,0,,"Picture of 9/2-4 Mill Street, CARLTON NSW 2218",Apartment / Unit / Flat
Mark Somboli,Belle Property St George,For Sale | Contact Agent,"15-21 Hampton Court Road,",CARLTON,NSW,2218,2,2,1,0,NEW HOME,Mark Somboli,New apartments / off the plan
Joanne Huynh,LJ Hooker Edensor Park,CONTACT AGENT,"39 Bibby Street,",CARLTON,NSW,2218,4,3,2,430m²,,Joanne Huynh,House
Mele Gong,PRDnationwide Hurstville,Auction | Mele Gong,"16A Nielsen Avenue,",CARLTON,NSW,2218,4,1,4,512m²,,Mele Gong,House
Mark Somboli,Belle Property St George,Auction If Not Sold Prior,"11 Henry Street,",CARLTON,NSW,2218,3,1,0,0,AUCTION SAT 15 FEB,Mark Somboli,House
Brett Phillips,Mint Lifestyle Properties,Contact Agent,"10 Xenia Avenue,",CARLTON,NSW,2218,4,3,2,0,,Brett Phillips,House
Gerardo (Gerry) Ricco,Ray White Hurstville,"$2,190,000","32 Xenia Avenue,",CARLTON,NSW,2218,4,3,2,0,,Gerardo (Gerry) Ricco,House
Con Economos,Ray White Rockdale,Auction,"67 Fleet Street,",CARLTON,NSW,2218,3,2,1,340m²,,Con Economos,House
Fan Li,Ray White Norwest,Auction,"130 St Georges Parade,",ALLAWAH,NSW,2218,3,2,2,0,AUCTION SAT 15 FEB,Fan Li,House
Louise Morrin,Morrin Property,By Negotiation,"13/428-430 Railway Parade,",ALLAWAH,NSW,2218,2,2,1,0,,Louise Morrin,Apartment / Unit / Flat
Bill Tsounias,McGrath Sans Souci,"For sale $1,600,000 - $1,700,000","289 Princes Highway,",CARLTON,NSW,2218,4,2,1,446m²,,Bill Tsounias,House
(Allen) Lijing Yan,Ray White Hurstville,Contact Agent,"73 Bellevue Parade,",ALLAWAH,NSW,2218,5,3,2,480m²,,(Allen) Lijing Yan,House
Yolanda Leung,Hurstville Real Estate,FOR SALE,"32/432-434 RAILWAY PARADE,",ALLAWAH,NSW,2218,3,2,1,0,,Hurstville Real Estate,Apartment / Unit / Flat
Ansar Jaferi,Belle Property St George,"For Sale $2,000,000 - $2,100,000","42 Bellevue Parade,",ALLAWAH,NSW,2218,7,3,2,452m²,,Ansar Jaferi,House
George El Daghl,LJ Hooker Campsie,"Price Guide $770,000","14/2 Willison Road,",CARLTON,NSW,2218,2,2,1,0,,George El Daghl,Apartment / Unit / Flat
,,Brand New Luxury Apartments | Private Courtyards,"15 Hampton Court Road,",CARLTON,NSW,2218,2,2,1,0,,Living Estate Agents,Apartment / Unit / Flat
,,Brand New Luxury Apartments | Private Courtyards,"15 Hampton Court Road,",CARLTON,NSW,2218,1,1,1,0,,Living Estate Agents,Apartment / Unit / Flat
,,"$900,000","27-33 Nielsen Avenue,",CARLTON,NSW,2218,2,2,1,0,NEW HOME,McGrath Sans Souci,New apartments / off the plan
,,"$1,400,000","28 Colvin Avenue,",CARLTON,NSW,2218,2,1,2,400m²,SOLD,"Picture of 28 Colvin Avenue, CARLTON NSW 2218",House
,,"$712,000","4/2-4 Mill Street,",CARLTON,NSW,2218,2,1,1,0,SOLD,"Picture of 4/2-4 Mill Street, CARLTON NSW 2218",Apartment / Unit / Flat
,,"$730,000","5/27-33 Willison Road,",CARLTON,NSW,2218,2,1,1,0,SOLD,"Picture of 5/27-33 Willison Road, CARLTON NSW 2218",Apartment / Unit / Flat
,,For Sale | Contact Agent,"6/51-53 Noble Street,",ALLAWAH,NSW,2218,2,1,1,0,,"Picture of 6/51-53 Noble Street, ALLAWAH NSW 2218",Apartment / Unit / Flat
,,Contact Agent,"6/68 Noble Street,",ALLAWAH,NSW,2218,2,1,1,0,,"Picture of 6/68 Noble Street, ALLAWAH NSW 2218",Apartment / Unit / Flat
,,"Asking Price $1,285,000","47 Jubilee Avenue,",CARLTON,NSW,2218,2,1,1,193m²,,"Picture of 47 Jubilee Avenue, CARLTON NSW 2218",House
,,Contact Agent,"76 Botany street,",CARLTON,NSW,2218,3,1,2,0,,"Picture of 76 Botany street, CARLTON NSW 2218",House
