agent_name,agency_name,price,address_line1,suburb,state,postcode,bedrooms,bathrooms,car_spaces,SQM,listing_card_tag,alt_image,property_type
Stephanie Otto,,"$1,100,000","27 Staines Court,",GIRRAWEEN,NT,0836,4,2,8,"10,521m²",,Stephanie Otto,House
Daniel Harris,,"Price Guide $1,195,000","10 Hicks Road,",GIRRAWEEN,NT,0836,4,2,4,"20,300m²",,Daniel Harris,House
,,Contact Agent,"30/13 Lloyd Road,",HUMPTY DOO,NT,0836,3,1,1,0,,Litchfield Realty,Apartment / Unit / Flat
,,"Offers Over $700,000","40 Cattledog Court,",HUMPTY DOO,NT,0836,4,2,2,2ha,,O'Donoghues First National,House
,,"Price Guide - $1,700,000","10 Emanuel Road,",GIRRAWEEN,NT,0836,6,4,6,"19,700m²",,Real Estate Central Projects Pty Ltd,House
,,"LAST REMAINING TITLED BLOCKS - 800m2 at $245,000!","Lot 6037 Bax Road,",HUMPTY DOO,NT,0836,0,0,0,0,,"Picture of Lot 6037 Bax Road, HUMPTY DOO NT 0836",Vacant land
,,"$795,000","30 Gillatly Road,",HUMPTY DOO,NT,0836,3,2,9,2.02ha,,For Sale By Owner Australia,House
,,Offers over $1.0m,"625 Girraween Road,",GIRRAWEEN,NT,0836,0,0,0,0,,Property Shop Darwin,Rural
,,"$650,000","479 Pioneer Drive,",HERBERT,NT,0836,3,1,4,"20,234m²",,Raine & Horne Darwin,House
,,"Offers over $299,000","Goode Road,",HUMPTY DOO,NT,0836,0,0,0,0,,Acacia Realty,Vacant land
,,"$750,000","18 Raintree Ct,",HUMPTY DOO,NT,0836,6,3,8,2ha,,,House
,,"$279,000","36/13 Lloyd Road,",HUMPTY DOO,NT,0836,2,1,2,236m²,,,Apartment / Unit / Flat
,,Expressions of Interest,"98 Compigne Road,",GIRRAWEEN,NT,0836,0,0,0,0,,,Rural
,,"OFFERS OVER $600,000","245 Trippe Road North,",HUMPTY DOO,NT,0836,3,1,9,6.07ha,,,House
,,"OFFERS OVER $600,000","34 Kostka Road,",HUMPTY DOO,NT,0836,3,1,6,2.02ha,,,House
,,"OFFERS OVER $650,000","5 Shrike Lane,",HUMPTY DOO,NT,0836,3,2,12,2.02ha,,,House
,,"OFFERS OVER $700,000","265 Redcliff,",HUMPTY DOO,NT,0836,5,2,10,2.02ha,,,House
,,"$615,500","140 Woodlands Road,",HUMPTY DOO,NT,0836,2,1,4,0,SOLD,"Picture of 140 Woodlands Road, HUMPTY DOO NT 0836",House
,,"$1,500,000","62 Origin Close,",HUMPTY DOO,NT,0836,7,3,6,0,SOLD,"Picture of 62 Origin Close, HUMPTY DOO NT 0836",House
,,"$670,000","44 Pioneer Drive,",HUMPTY DOO,NT,0836,3,2,4,0,SOLD,"Picture of 44 Pioneer Drive, HUMPTY DOO NT 0836",House
