agent_name,agency_name,price,address_line1,suburb,state,postcode,bedrooms,bathrooms,car_spaces,SQM,listing_card_tag,alt_image,property_type
Patricia Kho,Kho & Lee Property Group,"Price Guide $320,000","101/1-9 Meagher Street,",CHIPPENDALE,NSW,2008,0,1,0,25m²,NEW,Patricia Kho,Studio
Sarah Li,Kho & Lee Property Group,"$1,900,000","505/1 Chippendale Way,",CHIPPENDALE,NSW,2008,3,3,2,164m²,NEW,Sarah Li,Apartment / Unit / Flat
Brett Phillips,Mint Lifestyle Properties,Just Listed,"1703/3 Carlton Street,",CHIPPENDALE,NSW,2008,2,2,1,0,NEW,Brett Phillips,Apartment / Unit / Flat
May Aoun,Crystal Realty,"$790,000","6/54 Regent Street,",CHIPPENDALE,NSW,2008,2,1,1,0,NEW,May Aoun,Apartment / Unit / Flat
Jack Wimpey,The Agency,"Auction Guide $2,200,000","195 Abercrombie Street,",DARLINGTON,NSW,2008,3,1,1,152m²,NEW,Jack Wimpey,Terrace
Josh Barlow,McGrath Surry Hills,"Guide $575,000","13/18-20 Buckland Street,",CHIPPENDALE,NSW,2008,1,1,0,0,UPDATED,Josh Barlow,Apartment / Unit / Flat
Djefri Soentara,Penta Properties International,FOR SALE - CONTACT AGENT,"504/18 Park Lane,",CHIPPENDALE,NSW,2008,1,1,0,0,,Djefri Soentara,Apartment / Unit / Flat
Moira Verheijen,Ray White Erskineville | Alexandria | Glebe | Surry Hills,Auction,"400 Wilson Street,",DARLINGTON,NSW,2008,2,1,0,108m²,,Moira Verheijen,House
Mark Dawes,Richardson & Wrench Alexandria | Waterloo,"For Sale $700,000 - $739,000","20/60 City Road,",CHIPPENDALE,NSW,2008,1,1,1,0,,Mark Dawes,Apartment / Unit / Flat
Brad Papaellinas,BresicWhitney Inner West,Contact agent,"19 Dick Street,",CHIPPENDALE,NSW,2008,3,2,2,0,,Brad Papaellinas,House
Ferry Suwito,Ray White Kingsford,For Sale - Contact Agent,"27/92-120 Cleveland Street,",CHIPPENDALE,NSW,2008,1,1,1,0,,Ferry Suwito,Apartment / Unit / Flat
