agent_name,agency_name,price,address_line1,suburb,state,postcode,bedrooms,bathrooms,car_spaces,SQM,listing_card_tag,alt_image,property_type
Perly Cundasamy,PM Realty,FOR SALE - CONTACT AGENT,"108/39 Kent Rd,",MASCOT,NSW,2020,1,1,1,0,,"Picture of 108/39 Kent Rd, MASCOT NSW 2020",Apartment / Unit / Flat
Krissie Ormond,The Agency,Auction | Contact Krissie Ormond 0405 060 075,"10 Tunbridge Street,",MASCOT,NSW,2020,2,1,0,0,NEW,Krissie Ormond,Semi-detached
John Gymellas,Raine & Horne Green Square,Auction,"10A Linden Street,",MASCOT,NSW,2020,3,1,2,701m²,NEW,John Gymellas,House
Bianca Neto,Focus Estate Agents,Contact Agent,"407/19 Robey Street,",MASCOT,NSW,2020,1,1,1,77m²,NEW,Bianca Neto,Apartment / Unit / Flat
John Gymellas,Raine & Horne Green Square,"Auction $2,000,000 - $2,200,000","1053 Botany Road,",MASCOT,NSW,2020,4,2,1,222m²,,John Gymellas,House
Chris Skarlatos,The Agency,Auction,"27 Hicks Avenue,",MASCOT,NSW,2020,3,2,2,468m²,,Chris Skarlatos,House
(Charles) Yuanchao Pei,Ray White Green Square,Contact Agent,"610/577 Gardeners Road,",MASCOT,NSW,2020,2,2,1,0,,(Charles) Yuanchao Pei,Apartment / Unit / Flat
Leo Bo Liu,McConnell Bourn,New on the Market,"1318/8 Galloway Street,",MASCOT,NSW,2020,3,2,2,0,,Leo Bo Liu,Apartment / Unit / Flat
Adam Pierce,McGrath Maroubra,Contact Agent,"302/18-26 Church Avenue,",MASCOT,NSW,2020,2,2,2,148m²,,Adam Pierce,Apartment / Unit / Flat
Perly Cundasamy,PM Realty,FOR SALE - CONTACT AGENT,"108/39 Kent Rd,",MASCOT,NSW,2020,1,1,1,0,,Perly Cundasamy,Apartment / Unit / Flat
Wilson Diec,Sydney Residential Metro,Contact Agent,"122/635 Gardeners Road,",MASCOT,NSW,2020,2,2,2,0,,Wilson Diec,Apartment / Unit / Flat
Jimmy Zhou,Ray White Earlwood l Wolli Creek,"Price Guide: $930,000","46A/330 King Street,",MASCOT,NSW,2020,3,2,2,0,,Jimmy Zhou,Apartment / Unit / Flat
Perly Cundasamy,PM Realty,FOR SALE - CONTACT AGENT!,"102/577 Gardeners Rd,",MASCOT,NSW,2020,1,1,1,0,,Perly Cundasamy,Apartment / Unit / Flat
Nathan Lang,NGFarah Pty Limited,Auction,"49 Hughes Avenue,",MASCOT,NSW,2020,3,1,2,0,AUCTION SAT 8 FEB,Nathan Lang,House
Gimmy Pan,JAMI Real Estate,Auction,"B504/2 Muller Lane,",MASCOT,NSW,2020,3,2,2,0,,Gimmy Pan,Apartment / Unit / Flat
Joshua Karam,McGrath Maroubra,Auction Saturday 1st March | 12.45pm,"31a Hardie Street,",MASCOT,NSW,2020,4,3,2,223m²,,Joshua Karam,House
Cathy Yuan Tian,McConnell Bourn,"For sale $960,000-$995,000","720/8 Galloway Street,",MASCOT,NSW,2020,2,2,1,0,,Cathy Yuan Tian,Apartment / Unit / Flat
Edwin Wang,Ray White Waterloo,Auction unless sold prior,"806/3 Haran Street,",MASCOT,NSW,2020,3,2,2,0,AUCTION SAT 8 FEB,Edwin Wang,Apartment / Unit / Flat
Kenny - Zijian WU,EVERTOP AGENCY,FOR SALE - CONTACT AGENT,"912A/8 Bourke Street,",MASCOT,NSW,2020,2,2,2,0,,Kenny - Zijian WU,Apartment / Unit / Flat
David Ho,NGFarah Pty Limited,Price on Request,"1106/6 Galloway Street,",MASCOT,NSW,2020,3,2,2,0,,David Ho,Apartment / Unit / Flat
,,"$1,350,000","405/12 Galloway Street,",MASCOT,NSW,2020,3,2,1,0,SOLD,"Picture of 405/12 Galloway Street, MASCOT NSW 2020",Apartment / Unit / Flat
,,"$740,000","5/66 Church Avenue,",MASCOT,NSW,2020,1,1,1,0,SOLD,"Picture of 5/66 Church Avenue, MASCOT NSW 2020",Apartment / Unit / Flat
,,"$1,330,000","14 Baxter Road,",MASCOT,NSW,2020,2,1,0,0,SOLD,"Picture of 14 Baxter Road, MASCOT NSW 2020",House
Ferry Suwito,Ray White Kingsford,For Sale - Contact Agent,"S204/6 Galloway Street,",MASCOT,NSW,2020,1,1,1,0,,Ferry Suwito,Apartment / Unit / Flat
Konstantin Melnikov,Morton Crows Nest,"$1,225,000","72/18-26 Church Avenue,",MASCOT,NSW,2020,3,2,2,0,,Konstantin Melnikov,Apartment / Unit / Flat
Peter Fotopoulos,MGM MARTIN,"For Sale $750,000 - $780,000","704/551 Gardeners Road,",MASCOT,NSW,2020,1,1,1,0,,Peter Fotopoulos,Apartment / Unit / Flat
Jacky(Yiyuan) Wu,JW Real Estate,New To Market,"601/5 Haran Street,",MASCOT,NSW,2020,2,1,1,0,,Jacky(Yiyuan) Wu,Apartment / Unit / Flat
Alex (Wei) Jiao,LYTIN REAL ESTATE,"$650,000 to $680,000 110SQM with Study","803/260 Coward Street,",MASCOT,NSW,2020,1,1,1,0,,Alex (Wei) Jiao,Apartment / Unit / Flat
Carrie Chen,RE/MAX Lead,"AUCTION guide price $899,000","605/248 Coward Street,",MASCOT,NSW,2020,2,2,2,0,AUCTION SAT 8 FEB,Carrie Chen,Apartment / Unit / Flat
Richard Movsessian,Coastline Agency,Auction by Richy Movsessian | 0419 696 555,"243/635 Gardeners Road,",MASCOT,NSW,2020,2,3,2,0,,Richard Movsessian,Apartment / Unit / Flat
Perly Cundasamy,PM Realty,FOR SALE - CONTACT AGENT!,"1014/3 Gearin Ally,",MASCOT,NSW,2020,1,1,1,0,,Perly Cundasamy,Apartment / Unit / Flat
Vince Du,Dux Properties Pty Ltd,Contact Agent,"910C/1 Muller Lane,",MASCOT,NSW,2020,2,1,1,0,,Vince Du,Apartment / Unit / Flat
Edward Quach,Service First Property Group,"For Sale $600,000 - $650,000","314A/8 Bourke Street,",MASCOT,NSW,2020,1,1,1,0,,Edward Quach,Apartment / Unit / Flat
Joe Zhang,RE/MAX INFINITY,Contact Agent,"404/1 Church Avenue,",MASCOT,NSW,2020,3,2,2,0,,Joe Zhang,Apartment / Unit / Flat
Chris Skarlatos,The Agency,"For Sale $2,230,000","276a King Street,",MASCOT,NSW,2020,4,2,2,0,,Chris Skarlatos,House
Susie Peica,MGM MARTIN,"For Sale $1,030,000 - $1,060,000","707C/1 Muller Lane,",MASCOT,NSW,2020,2,2,2,0,,Susie Peica,Apartment / Unit / Flat
Sarah Kerr,The Agency,Contact Agent,"302/577 Gardeners Road,",MASCOT,NSW,2020,2,1,0,80m²,,Sarah Kerr,Apartment / Unit / Flat
Elli Birnie,One Agency Live Well Property Group,"$899,000","401/149-161 O'Riordan Street,",MASCOT,NSW,2020,2,2,2,0,,Elli Birnie,Apartment / Unit / Flat
Greg Emerton,The Agency Inner West - Strathfield,"Guide $950,000","1304/39 Kent Road,",MASCOT,NSW,2020,2,2,2,0,,Greg Emerton,Apartment / Unit / Flat
Sky Shijia Ye,Harmony Realty Group Pty Ltd,"For sale 630,000","215/42 Church Avenue,",MASCOT,NSW,2020,1,1,0,0,,Sky Shijia Ye,Apartment / Unit / Flat
Gary Shi,GS BOUTIQUE PROPERTY,"Guide $675,000","308/39 Kent Road,",MASCOT,NSW,2020,1,1,1,0,,Gary Shi,Apartment / Unit / Flat
Adam Bodon,Adam Charles,Contact agent,"816 Botany Road,",MASCOT,NSW,2020,3,1,1,430m²,,Adam Bodon,House
Jerry Qin,ASSET MATE PTY LTD,Contact Agent,"318/8 Galloway st,",MASCOT,NSW,2020,1,1,1,63m²,,Jerry Qin,Apartment / Unit / Flat
,,"$1,350,000","405/12 Galloway Street,",MASCOT,NSW,2020,3,2,1,0,SOLD,"Picture of 405/12 Galloway Street, MASCOT NSW 2020",Apartment / Unit / Flat
,,"$740,000","5/66 Church Avenue,",MASCOT,NSW,2020,1,1,1,0,SOLD,"Picture of 5/66 Church Avenue, MASCOT NSW 2020",Apartment / Unit / Flat
,,"$1,330,000","14 Baxter Road,",MASCOT,NSW,2020,2,1,0,0,SOLD,"Picture of 14 Baxter Road, MASCOT NSW 2020",House
Vanessa White,,Contact Agent,"236/1 Galloway Street,",MASCOT,NSW,2020,1,1,0,0,,Vanessa White,Apartment / Unit / Flat
Victor HUANG,,Contact Agent,"Unit S803/6 Galloway Street,",MASCOT,NSW,2020,2,2,1,0,,Aych Group,Apartment / Unit / Flat
,,For Sale Contact agent,"001C/1 Muller Lane,",MASCOT,NSW,2020,3,2,2,0,,Oak Property Partners Pty Ltd,Apartment / Unit / Flat
,,For Sale,"1208/214-220 Coward Street,",MASCOT,NSW,2020,2,2,2,0,,Agents and Co Property Group,Apartment / Unit / Flat
,,Contact Agent,"C3/1271 Botany Road,",MASCOT,NSW,2020,1,1,1,113m²,,Focus Estate Agents,Apartment / Unit / Flat
,,"$1,100,000","1025/44 Church Avenue,",MASCOT,NSW,2020,2,2,1,0,,Elite Estate,Apartment / Unit / Flat
,,"FOR SALE $900,000","1310A/7-9 KENT ROAD,",MASCOT,NSW,2020,2,2,1,0,,EVERTOP AGENCY,Apartment / Unit / Flat
,,Contact Agent,"15/7 BOURKE Street,",MASCOT,NSW,2020,2,2,2,0,NEW,Victory Lease Pty Ltd,Apartment / Unit / Flat
,,New To Market,"206/2 Muller Lane,",MASCOT,NSW,2020,2,2,1,0,,JW Real Estate,Apartment / Unit / Flat
,,JUST LISTED - FOR SALE,"103c/1 Muller Lane,",MASCOT,NSW,2020,3,2,2,0,,EVERTOP AGENCY,Apartment / Unit / Flat
,,For Sale $1.2M-$1.26M,"205C/1 Muller Lane,",MASCOT,NSW,2020,3,2,2,0,,The Property Investors Alliance,Apartment / Unit / Flat
,,Just listed | Contact agent,"408/551 Gardeners Road,",MASCOT,NSW,2020,3,2,2,0,,TRIPLE S PROPERTY,Apartment / Unit / Flat
,,By Negotiation,"1114/111 High,",MASCOT,NSW,2020,1,1,1,100m²,,The Property Investors Alliance,Apartment / Unit / Flat
,,By Negotiation,"1125/111 High,",MASCOT,NSW,2020,1,1,1,0,,The Property Investors Alliance,Apartment / Unit / Flat
,,"$1,039,000","1135/1 Galloway Street,",MASCOT,NSW,2020,2,2,1,0,,Frasers Property NSW,Apartment / Unit / Flat
,,CONTACT AGENT,"C208/1 Muller lane,",MASCOT,NSW,2020,2,1,1,0,,Sydney Property Realty,Apartment / Unit / Flat
,,"$820,000","609/230 Coward St,",MASCOT,NSW,2020,2,2,2,0,,The Property Investors Alliance,Apartment / Unit / Flat
,,"For Sale $680,000 - $750,000","506C/8 Bourke Street,",MASCOT,NSW,2020,1,1,1,0,,MGM MARTIN,Apartment / Unit / Flat
