agent_name,agency_name,price,address_line1,suburb,state,postcode,bedrooms,bathrooms,car_spaces,SQM,listing_card_tag,alt_image,property_type
Shyam Thapa,Wealthmax Real Estate,"Offers Over $680,000","14 Redmond Crescent,",DURACK,NT,0830,3,2,2,508m²,NEW,"Picture of 14 Redmond Crescent, DURACK NT 0830",House
Chris Hyland,Colliers International Darwin,"Offers in excess of $850,000","14 Delacruz Street,",DURACK,NT,0830,4,2,2,630m²,UPDATED,"Picture of 14 Delacruz Street, DURACK NT 0830",House
Ryan Rowsell,Ray White Darwin,"AUCTION ON-SITE: Bidding from $800,000","3 Hobble Place,",MARLOW LAGOON,NT,0830,3,2,12,"6,230m²",AUCTION SAT 8 FEB,Ryan Rowsell,House
Shyam Thapa,Wealthmax Real Estate,Any offer will be considered,"17/34 Lorna Lim Terrace,",DRIVER,NT,0830,2,2,2,143m²,,Shyam Thapa,Apartment / Unit / Flat
Paige Crow,,"Buying Guide $890,000","12 Waler Road,",MARLOW LAGOON,NT,0830,3,2,7,"4,100m²",NEW,Paige Crow,House
Andrew Lamberton,,"$490,000","16 Chilman Court,",DRIVER,NT,0830,3,1,2,0,NEW,Andrew Lamberton,House
Braden Menzies,,"$660,000","133 Farrar Boulevard,",FARRAR,NT,0830,4,2,2,0,NEW,Braden Menzies,House
Shun Hatton,,"AUCTION ON SITE Tues, 25th Feb 2025 at 5pm","37 Essington Avenue,",GRAY,NT,0830,3,1,2,888m²,,Shun Hatton,House
Gennie Cox,,"PRICE GUIDE $437,000","29/3 Fairway Drive,",DRIVER,NT,0830,4,2,2,459m²,,Gennie Cox,Apartment / Unit / Flat
Gennie Cox,,"PRICE GUIDE $750,000","7 Seagar Court,",GRAY,NT,0830,5,3,4,867m²,,Gennie Cox,House
,,On-Site AUCTION / Saturday 1st March @ 11:30am,"19 Bedford Court,",DURACK,NT,0830,5,2,4,903m²,,LJ Hooker Darwin,House
,,"Offer Over 615,000","14 Savage Close,",FARRAR,NT,0830,4,2,2,760m²,,For Sale By Owner Australia,House
,,Expression of Interest,"1 Langdon Street,",DURACK,NT,0830,4,3,2,564m²,,No Agent Property,House
,,"$815,000","46 Bauldry Avenue,",FARRAR,NT,0830,4,2,5,762m²,,Real Estate NT by George Pikos,House
,,"Price Reduction $220,000","1 Kirkimbie Court,",FARRAR,NT,0830,0,0,0,0,,Ray White Darwin,Vacant land
,,"$335,000","15/34 Lorna Lim Terrace,",DRIVER,NT,0830,2,2,2,0,,Ray White Nightcliff,Apartment / Unit / Flat
,,"Offers over $400,000","3/99 Farrar Boulevard,",FARRAR,NT,0830,3,2,2,243m²,,Real Estate NT by George Pikos,Apartment / Unit / Flat
,,"Offers Over $365,000","14/34 Lorna Lim Tce,",DRIVER,NT,0830,2,2,2,142m²,,Core Realty NT,Apartment / Unit / Flat
,,"PRICE GUIDE $1,550,000","3 Horseshoe Court,",MARLOW LAGOON,NT,0830,6,4,10,1.58ha,,Elders Top End Group,House
,,"$665,000","17 Scammell Court,",GRAY,NT,0830,3,2,7,"1,170m²",,buymyplace,House
,,"$490,000","45 Corypha Circuit,",DURACK,NT,0830,3,2,2,0,SOLD,"Picture of 45 Corypha Circuit, DURACK NT 0830",House
,,"$470,000","29 Bagshaw Crescent,",GRAY,NT,0830,3,1,2,0,SOLD,"Picture of 29 Bagshaw Crescent, GRAY NT 0830",House
,,"$575,000","27 Delacruz Street,",DURACK,NT,0830,4,2,2,0,SOLD,"Picture of 27 Delacruz Street, DURACK NT 0830",House
,,NEGOTIABLE,"16 Scammell Court,",GRAY,NT,0830,4,2,2,937m²,,For Sale By Owner Australia,House
,,Expressions of Interest,"43 Bauldry Avenue,",FARRAR,NT,0830,0,0,0,0,,LJ Hooker Darwin,Vacant land
,,"$720,000","14 Phoenix Cct,",DURACK,NT,0830,3,2,6,782m²,NEW,,House
,,"$650,000","63 Harrison Circuit,",WOODROFFE,NT,0830,4,2,2,825m²,,,House
,,"$450,000 PLUS","24 Port Mar Street,",MOULDEN,NT,0830,3,1,7,871m²,,,House
,,"OFFERS OVER $330,000","14 Port Mar Street,",MOULDEN,NT,0830,3,1,4,819m²,,,House
,,"$490,000","45 Corypha Circuit,",DURACK,NT,0830,3,2,2,0,SOLD,"Picture of 45 Corypha Circuit, DURACK NT 0830",House
,,"$470,000","29 Bagshaw Crescent,",GRAY,NT,0830,3,1,2,0,SOLD,"Picture of 29 Bagshaw Crescent, GRAY NT 0830",House
,,"$575,000","27 Delacruz Street,",DURACK,NT,0830,4,2,2,0,SOLD,"Picture of 27 Delacruz Street, DURACK NT 0830",House
