agent_name,agency_name,price,address_line1,suburb,state,postcode,bedrooms,bathrooms,car_spaces,SQM,listing_card_tag,alt_image,property_type
Laver Residential Projects (B&P),Laver Residential Projects,"$1,250,000","859 Bourke Street,",WATERLOO,NSW,2017,2,2,1,0,NEW,Laver Residential Projects (B&P),Apartment / Unit / Flat
Peter (phyo) Tun,MGM MARTIN,"$780,000 - $855,000","712/1 Hutchinson Walk,",ZETLAND,NSW,2017,1,1,1,0,NEW,Peter (phyo) Tun,Apartment / Unit / Flat
David Bettini,MGM MARTIN,"$750,000 - $825,000","317/17 Grandstand Parade,",ZETLAND,NSW,2017,2,1,0,0,NEW,David Bettini,Apartment / Unit / Flat
Jack Williams,Village Property Estate Agents,Auction,"1404/5 Joynton Avenue,",ZETLAND,NSW,2017,4,2,2,0,NEW,Jack Williams,Apartment / Unit / Flat
Jackson Snell,Ray White Centennial Park,Auction by The Jarman Team,"750/2C Defries Avenue,",ZETLAND,NSW,2017,2,1,1,0,NEW,Jackson Snell,Apartment / Unit / Flat
Daniel Cachia,PPD Real Estate,"Buyers Guide $850,000","61/52-54 McEvoy Street,",WATERLOO,NSW,2017,2,2,1,0,NEW,Daniel Cachia,Apartment / Unit / Flat
Celiya Young,MGM MARTIN,"$1,050,000 - $1,150,000","2415/6 Kingsborough Way,",ZETLAND,NSW,2017,2,2,2,0,NEW,Celiya Young,Apartment / Unit / Flat
David Bettini,MGM MARTIN,"$1,000,000 - $1,100,000","701/12 Paul Street,",ZETLAND,NSW,2017,2,2,1,0,NEW,David Bettini,Apartment / Unit / Flat
Calvin Chan,Morton Green Square,"Buyers Guide $900,000","303/12 Paul Street,",ZETLAND,NSW,2017,2,2,0,0,NEW,Calvin Chan,Apartment / Unit / Flat
Emma Symonds,Real Estate Services by Mirvac,"Buyers Guide $2,150,000","201/10 Zetland Avenue,",ZETLAND,NSW,2017,3,2,1,139m²,NEW,Emma Symonds,Apartment / Unit / Flat
Glen(Zhenwei) CHEN,B&M Property Partners,CONTACT AGENT,"612/16A Gadigal Avenue,",WATERLOO,NSW,2017,2,3,1,0,,Glen(Zhenwei)  CHEN,Apartment / Unit / Flat
Peter Fotopoulos,MGM MARTIN,"For Sale - $660,000 - $690,000","911/4-6 Ascot Avenue,",ZETLAND,NSW,2017,1,1,0,72m²,UPDATED,Peter Fotopoulos,Apartment / Unit / Flat
Celiya Young,MGM MARTIN,"$420,000 - $460,000","27/1 Defries Avenue,",ZETLAND,NSW,2017,1,1,0,0,UPDATED,Celiya Young,Apartment / Unit / Flat
Mark Dawes,Richardson & Wrench Alexandria | Waterloo,"Buyers Guide $2,250,000","17 Kellick Street,",WATERLOO,NSW,2017,3,1,1,322m²,UPDATED,Mark Dawes,House
(Lina) Li Dong,Ray White Norwest,Contact Agent,"1608/15 Lachlan Street,",WATERLOO,NSW,2017,1,1,0,0,UPDATED,(Lina) Li Dong,Apartment / Unit / Flat
Matt Marano,Oxford Agency,"Price Guide $1,600,000","804 Elizabeth Street,",WATERLOO,NSW,2017,3,1,1,0,UPDATED,Matt Marano,Terrace
,,"$801,000","105/2-4 Powell Street,",WATERLOO,NSW,2017,1,1,1,92m²,SOLD,"Picture of 105/2-4 Powell Street, WATERLOO NSW 2017",Apartment / Unit / Flat
,,"$1,052,000","49/830 Bourke Street,",WATERLOO,NSW,2017,2,2,1,0,SOLD,"Picture of 49/830 Bourke Street, WATERLOO NSW 2017",Apartment / Unit / Flat
,,"$940,000","1019/5 O'Dea Avenue,",ZETLAND,NSW,2017,2,2,1,125m²,SOLD,"Picture of 1019/5 O'Dea Avenue, ZETLAND NSW 2017",Apartment / Unit / Flat
