agent_name,agency_name,price,address_line1,suburb,state,postcode,bedrooms,bathrooms,car_spaces,SQM,listing_card_tag,alt_image,property_type
Hannan Bouskila,Raine & Horne Double Bay,Auction,"5/21 Diamond Bay Road,",VAUCLUSE,NSW,2030,2,1,2,0,UPDATED,"Picture of 5/21 Diamond Bay Road, VAUCLUSE NSW 2030",Apartment / Unit / Flat
Alan Fettes,Ray White Double Bay,Auction,"1 Olphert Avenue,",VAUCLUSE,NSW,2030,4,3,3,0,NEW,"Picture of 1 Olphert Avenue, VAUCLUSE NSW 2030",House
ZAC RABIN,TRG,Auction,"6/739 Old South Head Road,",VAUCLUSE,NSW,2030,2,1,1,0,NEW,"Picture of 6/739 Old South Head Road, VAUCLUSE NSW 2030",Apartment / Unit / Flat
Paul Biller,Biller Property,Contact Agent,"2 Salisbury Street,",WATSONS BAY,NSW,2030,6,5,3,0,NEW,Paul Biller,House
Alex Papa,Bradfield BadgerFox,AUCTION,"184 Old South Head Road,",VAUCLUSE,NSW,2030,4,4,5,711m²,NEW,Alex Papa,House
Alex Papa,Bradfield BadgerFox,AUCTION,"54 Portland Street,",DOVER HEIGHTS,NSW,2030,3,1,4,544m²,NEW,Alex Papa,House
Graham Berman,Ray White Double Bay,Auction,"15/23-27 Diamond Bay Road,",VAUCLUSE,NSW,2030,3,2,1,0,NEW,Graham Berman,Apartment / Unit / Flat
Julian Hasemer,1st City Real Estate Group,Contact Agent,"80A Hopetoun Avenue,",VAUCLUSE,NSW,2030,5,3,4,907m²,NEW,Julian Hasemer,House
D'Leanne Lewis,Laing+Simmons Double Bay,Expression of Interest Closing 5th March,"6 Jesmond Avenue,",VAUCLUSE,NSW,2030,5,2,2,0,NEW,D'Leanne Lewis,House
Elliott Placks,Ray White Double Bay,Auction,"9 Russell Street,",VAUCLUSE,NSW,2030,5,6,5,0,NEW,Elliott Placks,House
Yaron Foghel,1st City Real Estate Group,Contact Agent,"3/63 New South Head Road,",VAUCLUSE,NSW,2030,4,3,3,0,NEW,Yaron Foghel,New apartments / off the plan
Yaron Foghel,1st City Real Estate Group,Contact Agent,"2/63 New South Head Road,",VAUCLUSE,NSW,2030,2,2,2,0,NEW,Yaron Foghel,New apartments / off the plan
Luke Hogan,McGrath Double Bay,Auction,"5 New South Head Road,",VAUCLUSE,NSW,2030,4,4,4,581m²,NEW,Luke Hogan,House
D'Leanne Lewis,Laing+Simmons Double Bay,Expression of Interest Closing 12 March 3pm,"6 Lyons Street,",DOVER HEIGHTS,NSW,2030,6,4,5,0,NEW,D'Leanne Lewis,House
Warren Ginsberg,Ray White Double Bay,Auction,"1/2-8 Military Road,",WATSONS BAY,NSW,2030,3,2,2,0,NEW,Warren Ginsberg,Apartment / Unit / Flat
Joshua Allen,JT Allen Real Estate,Expressions of Interest,"12 Lord Howe Street,",DOVER HEIGHTS,NSW,2030,4,3,4,"1,040m²",NEW,Joshua Allen,House
Paul Biller,Biller Property,Auction,"3 Kippara Road,",DOVER HEIGHTS,NSW,2030,5,2,4,0,,Paul Biller,House
Paul Biller,Biller Property,Auction,"7 Peel Street,",DOVER HEIGHTS,NSW,2030,3,2,2,0,,Paul Biller,House
Paul Biller,Biller Property,Auction,"60 Blake Street,",DOVER HEIGHTS,NSW,2030,5,3,4,563m²,,Paul Biller,House
Paul Biller,Biller Property,Auction,"15 Serpentine Parade,",VAUCLUSE,NSW,2030,5,5,3,930m²,,Paul Biller,House
Hannan Bouskila,Raine & Horne Double Bay,Auction,"5/21 Diamond Bay Road,",VAUCLUSE,NSW,2030,2,1,2,0,UPDATED,Hannan Bouskila,Apartment / Unit / Flat
,,"$4,725,000","1 Craig Avenue,",VAUCLUSE,NSW,2030,3,2,2,0,SOLD,"Picture of 1 Craig Avenue, VAUCLUSE NSW 2030",House
,,"$15,100,000","7 Dalley Avenue,",VAUCLUSE,NSW,2030,6,4,2,0,SOLD,"Picture of 7 Dalley Avenue, VAUCLUSE NSW 2030",House
,,"$1,770,000","13/31-39 Diamond Bay Road,",VAUCLUSE,NSW,2030,2,2,1,0,SOLD,"Picture of 13/31-39 Diamond Bay Road, VAUCLUSE NSW 2030",Townhouse
