agent_name,agency_name,price,address_line1,suburb,state,postcode,bedrooms,bathrooms,car_spaces,SQM,listing_card_tag,alt_image,property_type
Mia Fredrix,CobdenHayson Drummoyne,Contact Agent,"10/24 Marlborough Street,",DRUMMOYNE,NSW,2047,2,1,2,135m²,NEW,"Picture of 10/24 Marlborough Street, DRUMMOYNE NSW 2047",Apartment / Unit / Flat
Ben Horwood,Horwood Nolan,Auction,"42 Henley Street,",DRUMMOYNE,NSW,2047,3,2,4,335m²,NEW,"Picture of 42 Henley Street, DRUMMOYNE NSW 2047",House
Nicholas McEvoy,BresicWhitney Hunters Hill,"Guide $1,690,000","202/2 Roseby Street,",DRUMMOYNE,NSW,2047,2,2,2,0,NEW,Nicholas McEvoy,Apartment / Unit / Flat
Mia Fredrix,CobdenHayson Drummoyne,Contact Agent,"10/24 Marlborough Street,",DRUMMOYNE,NSW,2047,2,1,2,135m²,NEW,Mia Fredrix,Apartment / Unit / Flat
Adrienne Williams,BresicWhitney Balmain,"Guide $1,250,000","4/26 Westbourne Street,",DRUMMOYNE,NSW,2047,2,2,1,0,NEW,Adrienne Williams,Apartment / Unit / Flat
Alex Cummins,DibChidiac®,Auction this Saturday,"39 Westbourne Street,",DRUMMOYNE,NSW,2047,3,1,1,290m²,AUCTION SAT 8 FEB,Alex  Cummins,Duplex
Joe Kanaan,The Agency Inner West - Drummoyne,"For Sale - $990,000","6/74-76 Victoria Road,",DRUMMOYNE,NSW,2047,2,1,1,113m²,,Joe Kanaan,Apartment / Unit / Flat
Samuel Williams,Warwick Williams,Auction - Sam Williams,"97 Renwick Street,",DRUMMOYNE,NSW,2047,4,2,0,183m²,UPDATED,Samuel Williams,House
Jim Kapeleris,First National Five Dock Drummoyne,Forthcoming Auction,"3 Burnell Street,",DRUMMOYNE,NSW,2047,4,2,1,664m²,,Jim Kapeleris,House
Matthew Hayson,CobdenHayson Balmain,Buyer's Guide $3.6m,"3/339 Victoria Place,",DRUMMOYNE,NSW,2047,3,2,2,0,,Matthew Hayson,Apartment / Unit / Flat
Samuel Williams,Warwick Williams,Auction | Sam Williams,"207/1 Roseby Street,",DRUMMOYNE,NSW,2047,2,2,1,0,,Samuel Williams,Apartment / Unit / Flat
Morgan Davies-Forsyth,Warwick Williams,Auction | Morgan Davies-Forsyth,"10/64-66 Wrights Road,",DRUMMOYNE,NSW,2047,2,1,1,0,,Morgan Davies-Forsyth,Apartment / Unit / Flat
Conor Allen,Warwick Williams,Forthcoming Auction,"6 Collingwood Street,",DRUMMOYNE,NSW,2047,4,2,2,422m²,,Conor Allen,House
Tim Le,Ray White (Hunters Hill),Contact Agent,"15/26 Wolseley Street,",DRUMMOYNE,NSW,2047,3,2,3,0,,Tim Le,Apartment / Unit / Flat
