agent_name,agency_name,price,address_line1,suburb,state,postcode,bedrooms,bathrooms,car_spaces,SQM,listing_card_tag,alt_image,property_type
Tolga Ozer,Boutique Property Agents,"Auction Guide $1,900,000","1202/187 Liverpool Street,",SYDNEY,NSW,2000,2,2,1,0,NEW,"Picture of 1202/187 Liverpool Street, SYDNEY NSW 2000",Apartment / Unit / Flat
Tolga Ozer,Boutique Property Agents,Contact Agent,"502/281 Elizabeth Street,",SYDNEY,NSW,2000,2,2,1,0,,"Picture of 502/281 Elizabeth Street, SYDNEY NSW 2000",Apartment / Unit / Flat
Tolga Ozer,Boutique Property Agents,Contact Agent,"2401/130 Elizabeth Street,",SYDNEY,NSW,2000,2,2,1,0,,"Picture of 2401/130 Elizabeth Street, SYDNEY NSW 2000",Apartment / Unit / Flat
Tolga Ozer,Boutique Property Agents,"Auction Guide $1,900,000","1202/187 Liverpool Street,",SYDNEY,NSW,2000,2,2,1,0,NEW,"Picture of 1202/187 Liverpool Street, SYDNEY NSW 2000",Apartment / Unit / Flat
Tolga Ozer,Boutique Property Agents,Contact Agent,"502/281 Elizabeth Street,",SYDNEY,NSW,2000,2,2,1,0,,"Picture of 502/281 Elizabeth Street, SYDNEY NSW 2000",Apartment / Unit / Flat
Tolga Ozer,Boutique Property Agents,Contact Agent,"2401/130 Elizabeth Street,",SYDNEY,NSW,2000,2,2,1,0,,"Picture of 2401/130 Elizabeth Street, SYDNEY NSW 2000",Apartment / Unit / Flat
Tolga Ozer,Boutique Property Agents,"Auction Guide $1,900,000","1202/187 Liverpool Street,",SYDNEY,NSW,2000,2,2,1,0,NEW,"Picture of 1202/187 Liverpool Street, SYDNEY NSW 2000",Apartment / Unit / Flat
Ettiene West,Morton Circular Quay,Contact Agent,"3903/343-357 Pitt Street,",SYDNEY,NSW,2000,2,2,1,105m²,NEW,Ettiene West,Apartment / Unit / Flat
Monika Tu,Black Diamondz Property Concierge,Contact Agent,"5102/1A Barangaroo Avenue,",BARANGAROO,NSW,2000,2,2,1,0,NEW,Monika Tu,Apartment / Unit / Flat
Anna Xianghua An,A.Gent & Co,Forthcoming Auction | MUST BE SOLD,"708/718 George Street,",HAYMARKET,NSW,2000,1,1,0,0,NEW,Anna Xianghua An,Apartment / Unit / Flat
CBRE Sales,CBRE Residential Sales,Contact Agent,"701/25 Barangaroo Avenue,",BARANGAROO,NSW,2000,3,3,2,0,NEW,CBRE Residential Sales,Apartment / Unit / Flat
Tasman Fallshaw,City Living,Contact Agent,"601/1 Pottinger Street,",WALSH BAY,NSW,2000,2,2,1,0,NEW,Tasman Fallshaw,Apartment / Unit / Flat
Bernard Tsang,Sydney Residential Metro,"$2,000,000","2801/710-718 George Street,",SYDNEY,NSW,2000,3,2,2,0,NEW,Bernard Tsang,Apartment / Unit / Flat
Tolga Ozer,Boutique Property Agents,"Auction Guide $1,900,000","1202/187 Liverpool Street,",SYDNEY,NSW,2000,2,2,1,0,NEW,Tolga Ozer,Apartment / Unit / Flat
Sydney Assets Sales,Sydney Assets Real Estate,"$830,000","1610/348-352 Sussex street,",SYDNEY,NSW,2000,1,1,1,0,NEW,Sydney Assets Real Estate,Apartment / Unit / Flat
Sydney Assets Sales,Sydney Assets Real Estate,"$830,000","1703/348-352 Sussex Street,",SYDNEY,NSW,2000,1,1,1,0,NEW,Sydney Assets Real Estate,Apartment / Unit / Flat
Emma Vadas,Ayre Real Estate,"$2,480,000","3408/101 Bathurst Street,",SYDNEY,NSW,2000,2,2,1,130m²,NEW,Emma Vadas,Apartment / Unit / Flat
Minh Tran,Three Property,"$2,250,00","3002/199 Castlereagh Street,",SYDNEY,NSW,2000,3,2,2,0,NEW,Three Property,Apartment / Unit / Flat
Davey Hong,McGrath Leichhardt,Contact Agent,"1903/82 Hay Street,",HAYMARKET,NSW,2000,2,2,1,114m²,UPDATED,Davey Hong,Apartment / Unit / Flat
Spencer Sun,Sydney Sotheby's International Realty,For Sale,"1610/161 Clarence Street,",SYDNEY,NSW,2000,2,2,0,0,UPDATED,Spencer Sun,Apartment / Unit / Flat
Michael Pallier,Sydney Sotheby's International Realty,For Sale,"9 & 9A High Street,",MILLERS POINT,NSW,2000,6,4,0,0,UPDATED,Michael Pallier,Terrace
Leanne Pan,Ray White Residential Sydney CBD,"$3,450,000","605/160 King Street,",SYDNEY,NSW,2000,3,2,1,136m²,UPDATED,Leanne Pan,Apartment / Unit / Flat
,,"$618,000","190/298-304 Sussex Street,",SYDNEY,NSW,2000,1,1,0,0,SOLD,"Picture of 190/298-304 Sussex Street, SYDNEY NSW 2000",Apartment / Unit / Flat
,,"$1,260,000","3802/343-357 Pitt Street,",SYDNEY,NSW,2000,2,1,1,0,SOLD,"Picture of 3802/343-357 Pitt Street, SYDNEY NSW 2000",Apartment / Unit / Flat
,,"$950,000","2806/68 Market Street,",SYDNEY,NSW,2000,1,1,1,0,SOLD,"Picture of 2806/68 Market Street, SYDNEY NSW 2000",Apartment / Unit / Flat
Brenden Taliana,Sydney Cove Property,"$850,000","52/57-67 Liverpool Street,",SYDNEY,NSW,2000,1,1,1,0,,"Picture of 52/57-67 Liverpool Street, SYDNEY NSW 2000",Apartment / Unit / Flat
Mitchell Soineva,Pello Lower North Shore,Contact Agent,"1505/5 York Street,",SYDNEY,NSW,2000,2,1,1,0,,"Picture of 1505/5 York Street, SYDNEY NSW 2000",Apartment / Unit / Flat
Ettiene West,Morton Circular Quay,Contact Agent,"703/71 Macquarie Street,",SYDNEY,NSW,2000,1,1,0,64m²,,Ettiene West,Apartment / Unit / Flat
