agent_name,agency_name,price,address_line1,suburb,state,postcode,bedrooms,bathrooms,car_spaces,SQM,listing_card_tag,alt_image,property_type
Steve Ausling,NGFarah Pty Limited,Auction,"508/1-3 Jenner Street,",LITTLE BAY,NSW,2036,2,2,2,0,UPDATED,"Picture of 508/1-3 Jenner Street, LITTLE BAY NSW 2036",Apartment / Unit / Flat
Nathan Lang,NGFarah Pty Limited,Price on Request,"9/599 Bunnerong Road,",MATRAVILLE,NSW,2036,2,1,2,0,NEW,Nathan Lang,Apartment / Unit / Flat
Conor Howard,NGFarah Pty Limited,"Auction - Buyer's Guide $2,600,000","3 Endeavour Avenue,",LA PEROUSE,NSW,2036,7,6,4,411m²,NEW,Conor Howard,House
Cameron Airlie,NGFarah Pty Limited,"Auction 8th March - Buyers Guide $2,200,000","61 Woomera Road,",LITTLE BAY,NSW,2036,4,2,4,326m²,NEW,Cameron Airlie,House
Conor Howard,NGFarah Pty Limited,For Sale - Contact Agent,"30 Florey Crescent,",LITTLE BAY,NSW,2036,4,3,2,0,NEW,Conor Howard,House
Nader Hotait,Ray White Eastern Beaches,Auction,"1183 Anzac Parade,",MATRAVILLE,NSW,2036,4,3,3,0,NEW,Nader Hotait,House
Nader Hotait,Ray White Eastern Beaches,Auction,"596 Bunnerong Road,",MATRAVILLE,NSW,2036,4,3,2,0,NEW,Nader Hotait,House
George Savva,Wentworth Partners,Contact Agent,"312/2-8 Pine Avenue,",LITTLE BAY,NSW,2036,1,1,1,0,NEW,George Savva,Apartment / Unit / Flat
Dean Jarman,Ray White Centennial Park,Auction by The Jarman Team,"12 Pillars Place,",MATRAVILLE,NSW,2036,4,3,2,0,NEW,Dean Jarman,House
Cameron Airlie,NGFarah Pty Limited,Auction,"25 Australia Avenue,",MATRAVILLE,NSW,2036,3,1,1,543m²,NEW,Cameron Airlie,House
Nathan Lang,NGFarah Pty Limited,Price on Request,"1/1 James Place,",HILLSDALE,NSW,2036,2,1,1,0,NEW,Nathan Lang,Apartment / Unit / Flat
Angela Gladstone,NGFarah Pty Limited,Contact Agent,"21A Kain Avenue,",MATRAVILLE,NSW,2036,4,3,2,242m²,NEW,Angela Gladstone,Semi-detached
Courtney Wong,Black Diamondz Property Concierge,Contact Agent,"7A Namoi Road,",MATRAVILLE,NSW,2036,5,4,2,345m²,NEW,Courtney Wong,House
Steve Ausling,NGFarah Pty Limited,"$849,000","309/28 Harvey Street,",LITTLE BAY,NSW,2036,1,1,1,0,NEW,Steve Ausling,Apartment / Unit / Flat
Steve Ausling,NGFarah Pty Limited,"$1,395,000","236/1 Cawood Avenue,",LITTLE BAY,NSW,2036,2,2,2,0,NEW,Steve Ausling,New apartments / off the plan
Steve Ausling,NGFarah Pty Limited,Auction,"508/1-3 Jenner Street,",LITTLE BAY,NSW,2036,2,2,2,0,UPDATED,Steve Ausling,Apartment / Unit / Flat
