agent_name,agency_name,price,address_line1,suburb,state,postcode,bedrooms,bathrooms,car_spaces,SQM,listing_card_tag,alt_image,property_type
Greg Haimandos,Ray White (IW Group),"Price Guide | $590,000","105/655 King Street,",NEWTOWN,NSW,2042,1,1,0,0,,"Picture of 105/655 King Street, NEWTOWN NSW 2042",Studio
Greg Haimandos,Ray White (IW Group),Auction | Greg Haimandos,"67/155 Missenden Road,",NEWTOWN,NSW,2042,1,1,1,0,,"Picture of 67/155 Missenden Road, NEWTOWN NSW 2042",Apartment / Unit / Flat
Greg Haimandos,Ray White (IW Group),Auction | Greg Haimandos,"6/161 Bedford Street,",NEWTOWN,NSW,2042,1,1,1,0,,"Picture of 6/161 Bedford Street, NEWTOWN NSW 2042",Apartment / Unit / Flat
Greg Haimandos,Ray White (IW Group),"Price Guide | $590,000","105/655 King Street,",NEWTOWN,NSW,2042,1,1,0,0,,"Picture of 105/655 King Street, NEWTOWN NSW 2042",Studio
Greg Haimandos,Ray White (IW Group),Auction | Greg Haimandos,"67/155 Missenden Road,",NEWTOWN,NSW,2042,1,1,1,0,,"Picture of 67/155 Missenden Road, NEWTOWN NSW 2042",Apartment / Unit / Flat
Greg Haimandos,Ray White (IW Group),Auction | Greg Haimandos,"6/161 Bedford Street,",NEWTOWN,NSW,2042,1,1,1,0,,"Picture of 6/161 Bedford Street, NEWTOWN NSW 2042",Apartment / Unit / Flat
Greg Haimandos,Ray White (IW Group),"Price Guide | $590,000","105/655 King Street,",NEWTOWN,NSW,2042,1,1,0,0,,"Picture of 105/655 King Street, NEWTOWN NSW 2042",Studio
Nicholas Viewey,Viewey Real Estate,Contact agent | The Viewey Brothers,"225 Enmore Road,",ENMORE,NSW,2042,4,2,0,152m²,NEW,"Picture of 225 Enmore Road, ENMORE NSW 2042",House
Shaun Stoker,Ray White Erskineville | Alexandria | Glebe | Surry Hills,Auction,"161 Probert Street,",NEWTOWN,NSW,2042,3,2,0,114m²,NEW,Shaun Stoker,House
Hudson Musty,Urban Lane,Auction - Contact Agent,"51 Lord Street,",NEWTOWN,NSW,2042,2,2,0,406m²,NEW,Hudson Musty,House
Nick Moraitis,Highland Inner West,Contact Agent,"142 Lord Street,",NEWTOWN,NSW,2042,2,1,0,0,NEW,Nick Moraitis,House
Moira Verheijen,Ray White Erskineville | Alexandria | Glebe | Surry Hills,Auction,"26 Don Street,",NEWTOWN,NSW,2042,2,1,0,183m²,NEW,Moira Verheijen,House
Shaun Stoker,Ray White Erskineville | Alexandria | Glebe | Surry Hills,"Auction | Buyers Guide $1,100,000","20/131-147 Alice Street,",NEWTOWN,NSW,2042,2,1,1,0,NEW,Shaun Stoker,Townhouse
Timothy Gorring,Ray White Erskineville | Alexandria | Glebe | Surry Hills,Auction,"31/536A King Street,",NEWTOWN,NSW,2042,2,1,1,0,NEW,Timothy Gorring,Apartment / Unit / Flat
Duncan Gordon,Raine & Horne Newtown,Auction I Contact Agent,"53/3-13 Erskineville Road,",NEWTOWN,NSW,2042,1,1,0,0,NEW,Duncan Gordon,Apartment / Unit / Flat
Chris Nunn,BresicWhitney Inner West,"Guide $2,300,000","16-18 Susan Street,",NEWTOWN,NSW,2042,3,1,3,263m²,,Chris Nunn,House
Shaun Stoker,Ray White Erskineville | Alexandria | Glebe | Surry Hills,Auction,"13A Harold Street,",NEWTOWN,NSW,2042,3,2,0,0,,Shaun Stoker,House
Shaun Stoker,Ray White Erskineville | Alexandria | Glebe | Surry Hills,Auction,"49 Commodore Street,",NEWTOWN,NSW,2042,2,1,0,139m²,,Shaun Stoker,House
Nick Moraitis,Highland Inner West,Contact Agent,"28/155 Missenden Road,",NEWTOWN,NSW,2042,1,1,1,0,,Nick Moraitis,Studio
Greg Haimandos,Ray White (IW Group),Auction | Greg Haimandos,"6/161 Bedford Street,",NEWTOWN,NSW,2042,1,1,1,0,,Greg Haimandos,Apartment / Unit / Flat
Moira Verheijen,Ray White Erskineville | Alexandria | Glebe | Surry Hills,Auction,"50 Station Street,",NEWTOWN,NSW,2042,3,2,1,151m²,,Moira Verheijen,House
Michael Harris,Raine & Horne Newtown,Auction I Contact Agent,"85 O'Connell Street,",NEWTOWN,NSW,2042,2,1,0,0,,Michael Harris,House
Greg Haimandos,Ray White (IW Group),Auction | Greg Haimandos,"67/155 Missenden Road,",NEWTOWN,NSW,2042,1,1,1,0,,Greg Haimandos,Apartment / Unit / Flat
Giles Colliver,Adrian William Real Estate,"Guide $1,700,000","32 Simmons Street,",NEWTOWN,NSW,2042,2,2,0,170m²,AUCTION SAT 8 FEB,Giles Colliver,House
Shaun Stoker,Ray White Erskineville | Alexandria | Glebe | Surry Hills,"Auction | Guide $1,800,000","107 Union Street,",NEWTOWN,NSW,2042,3,2,0,114m²,AUCTION WED 12 FEB,Shaun Stoker,House
