agent_name,agency_name,price,address_line1,suburb,state,postcode,bedrooms,bathrooms,car_spaces,SQM,listing_card_tag,alt_image,property_type
Ben Collier,The Agency,Contact Agent,"3-5 Caledonia Street,",PADDINGTON,NSW,2021,1,1,2,360m²,NEW,"Picture of 3-5 Caledonia Street, PADDINGTON NSW 2021",House
Alexander Smith,Sydney Sotheby's International Realty,"Buyers guide $2,500,000","35 Hopewell Street,",PADDINGTON,NSW,2021,3,2,0,0,NEW,Alexander Smith,House
Fraser Turvey,McGrath Paddington,"Guide $5,250,000","258 Glenmore Road,",PADDINGTON,NSW,2021,4,3,0,209m²,NEW,Fraser Turvey,Terrace
Warren Becker,JT Allen Real Estate,"For Sale | Price Guide $450,000","7/56 Hopewell Street,",PADDINGTON,NSW,2021,0,1,0,0,NEW,Warren Becker,Studio
Sam Towndrow,Sydney Sotheby's International Realty,"Buyers guide $2,200,000","23/400 Glenmore Road,",PADDINGTON,NSW,2021,3,2,2,0,NEW,Sam Towndrow,Apartment / Unit / Flat
Georgia Cleary,McGrath Paddington,AUCTION,"40 Liverpool Street,",PADDINGTON,NSW,2021,3,1,0,101m²,NEW,Georgia Cleary,Terrace
MARK LOWE,TRG,Auction | 22nd February 9:30am,"17 Windsor Street,",PADDINGTON,NSW,2021,3,2,1,126m²,,MARK LOWE,House
Katrina Wilson,Bradfield BadgerFox,AUCTION,"9 Victoria Place,",PADDINGTON,NSW,2021,2,1,0,0,,Katrina Wilson,House
MARK LOWE,TRG,Contact Agent,"61 Ormond Street,",PADDINGTON,NSW,2021,3,3,0,0,,MARK LOWE,House
Maclay Longhurst,Sydney Sotheby's International Realty,Price on request,"21 Flinton Street,",PADDINGTON,NSW,2021,4,3,2,351m²,UPDATED,Maclay Longhurst,House
Catherine Dixon,PPD Real Estate,"Buyers Guide $950,000","4/1 Bates Avenue,",PADDINGTON,NSW,2021,2,1,0,0,UPDATED,Catherine Dixon,Apartment / Unit / Flat
Maclay Longhurst,Sydney Sotheby's International Realty,Price on request,"12 Alexander Street,",PADDINGTON,NSW,2021,4,2,2,158m²,UPDATED,Maclay Longhurst,Terrace
Emily Davidson,Sydney Sotheby's International Realty,Price on request,"2 Bellevue Avenue,",PADDINGTON,NSW,2021,2,1,0,89m²,UPDATED,Emily Davidson,Terrace
Maclay Longhurst,Sydney Sotheby's International Realty,"Buyers guide $3,600,000","41 Comber Street,",PADDINGTON,NSW,2021,4,2,0,253m²,AUCTION THU 13 FEB,Maclay Longhurst,Terrace
Edward Brown,Belle Property Bondi Junction,Auction 27th February,"305/357 Glenmore Road,",PADDINGTON,NSW,2021,2,2,1,0,UPDATED,Edward Brown,Apartment / Unit / Flat
Zach Carter,PPD Real Estate,Contact Agent,"6 Wentworth Street,",PADDINGTON,NSW,2021,2,1,0,151m²,,Zach Carter,House
Andrew Cary,Ray White Centennial Park,Auction by the Cary Team,"39/57-67 Cook Road,",CENTENNIAL PARK,NSW,2021,1,1,1,0,,Andrew Cary,Apartment / Unit / Flat
Andrew Cary,Ray White Centennial Park,Auction by the Cary Team,"8 Victoria Street,",PADDINGTON,NSW,2021,2,1,0,0,,Andrew Cary,House
Augusto Gerocarni,Ray White Eastern Beaches,"Buyers Guide $6,500,000","5a & 5 Stewart Place,",PADDINGTON,NSW,2021,6,4,5,272m²,,Augusto Gerocarni,House
Matt Marano,Oxford Agency,Auction,"340 South Dowling Street,",PADDINGTON,NSW,2021,1,1,0,101m²,,Matt Marano,Terrace
,,"$3,675,000","12 Norfolk Street,",PADDINGTON,NSW,2021,3,1,0,0,SOLD,"Picture of 12 Norfolk Street, PADDINGTON NSW 2021",House
,,"$7,350,000","56 Renny Street,",PADDINGTON,NSW,2021,5,2,2,0,SOLD,"Picture of 56 Renny Street, PADDINGTON NSW 2021",House
