agent_name,agency_name,price,address_line1,suburb,state,postcode,bedrooms,bathrooms,car_spaces,SQM,listing_card_tag,alt_image,property_type
,,From $215 000,"Meade Rd Darwin River,",DARWIN RIVER,NT,0841,0,0,0,0,,"Picture of Meade Rd Darwin River, DARWIN RIVER NT 0841",Vacant land
,,Offers Wanted Guide Price High 900's,"1485 Leonino Road,",DARWIN RIVER,NT,0841,0,0,0,0,,"Picture of 1485 Leonino Road, DARWIN RIVER NT 0841",Vacant land
,,"$200,000","768 Letchford Road,",DARWIN RIVER,NT,0841,0,0,0,0,SOLD,"Picture of 768 Letchford Road, DARWIN RIVER NT 0841",Vacant land
,,"$230,000","455 Darwin River Road,",DARWIN RIVER,NT,0841,0,0,0,0,SOLD,"Picture of 455 Darwin River Road, DARWIN RIVER NT 0841",Vacant land
,,"$490,000","424 Spencer Road,",DARWIN RIVER,NT,0841,2,1,3,0,SOLD,"Picture of 424 Spencer Road, DARWIN RIVER NT 0841",House
