agent_name,agency_name,price,address_line1,suburb,state,postcode,bedrooms,bathrooms,car_spaces,SQM,listing_card_tag,alt_image,property_type
Sally Dodd,Belle Property Wahroonga | Hornsby | Pymble | Thornleigh,Auction Saturday 8th March 3pm,"21 Hillview Street,",HORNSBY HEIGHTS,NSW,2077,5,2,2,"1,843m²",NEW,Sally Dodd,House
Adam Gillbanks,McGrath Hornsby,"$680,000-$720,000","67/14-18 College Crescent,",HORNSBY,NSW,2077,2,2,1,0,NEW,Adam Gillbanks,Apartment / Unit / Flat
Domenic Maxwell,Ray White Upper North Shore,For Sale - Contact Agent,"830/20-26 Orara Street,",WAITARA,NSW,2077,2,2,1,0,NEW,Domenic Maxwell,Apartment / Unit / Flat
Anna Chow,Asset Realty,Auction (unless sold prior),"19a Nursery Street,",HORNSBY,NSW,2077,5,3,4,860m²,NEW,Anna Chow,House
Alex Iannuzzelli,Ray White Upper North Shore,"Auction Guide $1,450,000","2 Jenolan Close,",HORNSBY HEIGHTS,NSW,2077,3,1,1,600m²,NEW,Alex Iannuzzelli,House
Bronwen Lipscombe,McGrath Wahroonga,For Sale,"26/8-18 Baldwin Avenue,",ASQUITH,NSW,2077,4,3,2,207m²,NEW,Bronwen Lipscombe,Townhouse
Mathew Ferraro,Stone Real Estate,"Guide $710,000","139/121-133 Pacific Highway,",HORNSBY,NSW,2077,2,2,1,0,NEW,Mathew Ferraro,Apartment / Unit / Flat
Deborah Low,One Agency Deborah Low,"Guide $1,800,000.00","23 Sydney Road,",HORNSBY HEIGHTS,NSW,2077,4,2,4,"1,025m²",NEW,Deborah Low,House
Steve Noakes,Stone Real Estate,Auction 1st March Onsite @12.45pm,"19 Bouvardia Street,",ASQUITH,NSW,2077,4,2,2,716m²,NEW,Steve Noakes,House
Luis Lagrange,Lagrange Lairet Boutique Real Estate,Contact Agent,"13/7-11 Webb Avenue,",HORNSBY,NSW,2077,3,2,1,154m²,NEW,Luis Lagrange,Townhouse
Steve Noakes,Stone Real Estate,Auction 1st March Onsite @ 11.15am,"34 Sunnymeade Close,",ASQUITH,NSW,2077,4,2,2,608m²,NEW,Steve Noakes,House
Jol Daly,Daly & Bernar,"For Sale $900,000","85/208-226 Pacific Highway,",HORNSBY,NSW,2077,3,2,2,0,NEW,Jol Daly,Apartment / Unit / Flat
Steve Noakes,Stone Real Estate,Auction 8th March Onsite @ 10am,"47B Queens Road,",ASQUITH,NSW,2077,4,2,2,0,NEW,Steve Noakes,House
Shawn (Hang) Ren,Okura Real Estate Pty Ltd,"$1,490,000","15 Mildred Avenue,",HORNSBY,NSW,2077,4,3,2,0,NEW,Shawn (Hang) Ren,Townhouse
Eric (Wenguang) Li,Okura Real Estate Pty Ltd,"$1,490,000","14/15 Mildred Avenue,",HORNSBY,NSW,2077,4,3,2,0,NEW,Eric (Wenguang) Li,Townhouse
Eva Lu,The Marshall Group RE,"Auction Guide $1,750,000","29 Bouvardia Street,",ASQUITH,NSW,2077,4,2,2,740m²,UPDATED,Eva Lu,House
Ray Talati,DiJones Upper North Shore,"Auction Guide $1,600,000","30 Evans Road,",HORNSBY HEIGHTS,NSW,2077,4,2,1,695m²,,Ray Talati,House
Alex Iannuzzelli,Ray White Upper North Shore,"Auction Guide $1,700,000","9 The Outlook,",HORNSBY HEIGHTS,NSW,2077,5,2,2,807m²,,Alex Iannuzzelli,House
Eddie Yiu,Ray White Upper North Shore,For Sale $600k to $640k,"73/40-44 Edgeworth David Avenue,",WAITARA,NSW,2077,1,2,1,0,,Eddie Yiu,Apartment / Unit / Flat
Sally Dodd,Belle Property Wahroonga | Hornsby | Pymble | Thornleigh,Auction Saturday 22nd Feb 10:30am,"137 Galston Road,",HORNSBY HEIGHTS,NSW,2077,4,3,4,"1,164m²",,Sally Dodd,House
,,"$1,387,500","8/3-5 Winston Street,",ASQUITH,NSW,2077,4,2,2,0,SOLD,"Picture of 8/3-5 Winston Street, ASQUITH NSW 2077",Townhouse
,,"$815,000","18/23-27 Linda Street,",HORNSBY,NSW,2077,2,2,1,0,SOLD,"Picture of 18/23-27 Linda Street, HORNSBY NSW 2077",Apartment / Unit / Flat
,,"$668,800","6/29 Romsey Street,",WAITARA,NSW,2077,2,2,1,0,SOLD,"Picture of 6/29 Romsey Street, WAITARA NSW 2077",Apartment / Unit / Flat
Sally Dodd,Belle Property Wahroonga | Hornsby | Pymble | Thornleigh,Auction Saturday 22nd Feb 9am,"31 The Outlook,",HORNSBY HEIGHTS,NSW,2077,5,3,2,700m²,,Sally Dodd,House
Ben Tan,RE/MAX Noble,"$800,000 - $820,000","707/2-10 Orara Street,",WAITARA,NSW,2077,2,2,1,112m²,,Ben Tan,Apartment / Unit / Flat
Laura Chacon,McGrath Hornsby,"$700,000 - $750,000","703/12-16 Romsey Street,",WAITARA,NSW,2077,2,2,1,107m²,,Laura Chacon,Apartment / Unit / Flat
Steve Noakes,Stone Real Estate,Auction 22nd February Onsite @ 12pm,"21 Mills Avenue,",ASQUITH,NSW,2077,6,3,3,"1,524m²",,Steve Noakes,House
Sally Dodd,Belle Property Wahroonga | Hornsby | Pymble | Thornleigh,"$1,750,000","5 Oorin Road,",HORNSBY HEIGHTS,NSW,2077,5,2,2,740m²,,Sally Dodd,House
Adam Gillbanks,McGrath Hornsby,"$750,000-$800,000","806/88-90 George Street,",HORNSBY,NSW,2077,2,2,1,0,,Adam Gillbanks,Apartment / Unit / Flat
Adam Gillbanks,McGrath Hornsby,"$620,000-$660,000","52/215-217 Peats Ferry Road,",HORNSBY,NSW,2077,2,1,1,0,,Adam Gillbanks,Apartment / Unit / Flat
Mathew Ferraro,Stone Real Estate,"Guide $800,000","20/23-27 Linda Street,",HORNSBY,NSW,2077,2,2,1,0,,Mathew Ferraro,Apartment / Unit / Flat
Adam Noakes,Stone Real Estate,"Price Guide $795,000","425/20-26 Orara Street,",WAITARA,NSW,2077,2,2,1,0,,Adam Noakes,Apartment / Unit / Flat
Steve Noakes,Stone Real Estate,Auction 22nd February Onsite,"36 Stephen Street,",HORNSBY,NSW,2077,5,2,2,0,,Steve Noakes,House
Anthony Chau,Saliba,"Auction Guide: $1,500,000","95 Sherbrook Road,",ASQUITH,NSW,2077,3,3,1,822m²,AUCTION SAT 8 FEB,Anthony Chau,House
Anthony Chau,Saliba,Contact Agent,"54/309-311 Peats Ferry Road,",ASQUITH,NSW,2077,2,2,1,0,,Anthony Chau,Apartment / Unit / Flat
James Campbell,Belle Property Wahroonga | Hornsby | Pymble | Thornleigh,Auction unless prior sold,"34 Railway Parade,",HORNSBY,NSW,2077,4,2,2,0,,James Campbell,House
James Campbell,Belle Property Wahroonga | Hornsby | Pymble | Thornleigh,Auction on site unless sold prior,"38C Queens Road,",ASQUITH,NSW,2077,5,3,2,799m²,,James Campbell,House
Mathew Ferraro,Stone Real Estate,"Guide $660,000","186/208-226 Pacific Highway,",HORNSBY,NSW,2077,2,2,1,0,,Mathew Ferraro,Apartment / Unit / Flat
James Campbell,Belle Property Wahroonga | Hornsby | Pymble | Thornleigh,"$670,000 - $690,000","144/208-226 Pacific Highway,",HORNSBY,NSW,2077,2,2,1,0,,James Campbell,Apartment / Unit / Flat
Adam Gillbanks,McGrath Hornsby,"$540,000-$560,000","312/135 Pacific Highway,",HORNSBY,NSW,2077,1,1,1,0,,Adam Gillbanks,Apartment / Unit / Flat
Adam Gillbanks,McGrath Hornsby,"$640,000 - $680,000","22/20 College Crescent,",HORNSBY,NSW,2077,2,2,1,0,,Adam Gillbanks,Apartment / Unit / Flat
