agent_name,agency_name,price,address_line1,suburb,state,postcode,bedrooms,bathrooms,car_spaces,SQM,listing_card_tag,alt_image,property_type
Tony Walker,Shead Property,"For Sale - Price Guide $2,500,000","2902/2A Help Street,",CHATSWOOD,NSW,2067,3,3,2,0,,"Picture of 2902/2A Help Street, CHATSWOOD NSW 2067",Apartment / Unit / Flat
Eddie Li,Uhome Australia Pty Ltd,"For Sale | $1,700,000","1/96-100 Albert Avenue,",CHATSWOOD,NSW,2067,3,2,1,0,NEW,Eddie Li,Apartment / Unit / Flat
Jon Snead,McGrath Lower North Shore - Mosman,"Auction Guide $3,600,000-$3,800,000","1 Douglas Avenue,",CHATSWOOD,NSW,2067,5,4,2,645m²,NEW,Jon Snead,House
Andy Yeung,Ray White AY Realty Chatswood,Auction - Contact Agent,"3 Davies Street,",CHATSWOOD,NSW,2067,4,2,2,0,NEW,Andy Yeung,House
Timothy Chai,Ray White AY Realty Chatswood,Auction - Contact Agent,"8/42 View Street,",CHATSWOOD,NSW,2067,2,1,1,0,NEW,Timothy Chai,Apartment / Unit / Flat
Koji Amaike,Nova Realty Group,Auction : Contact Agent,"101/1 Katherine Street,",CHATSWOOD,NSW,2067,1,1,1,0,NEW,Koji Amaike,Apartment / Unit / Flat
John McManus,Ray White Lower North Shore Group,Auction,"36 Anglo Street,",CHATSWOOD,NSW,2067,9,4,4,930m²,NEW,John McManus,House
Hugh Macfarlan,Stone Real Estate Roseville Willoughby,Auction - Contact Agent,"2/18-20 Centennial Avenue,",CHATSWOOD,NSW,2067,3,2,1,0,NEW,Hugh Macfarlan,Apartment / Unit / Flat
Andy Yeung,Ray White AY Realty Chatswood,Auction - Contact Agent,"21 Dowel Street,",CHATSWOOD,NSW,2067,5,2,2,512m²,NEW,Andy Yeung,House
Nick Separovich,Raine & Horne Lower North Shore,Expressions of Interest - Contact Agent,"21 Robinson Street,",CHATSWOOD,NSW,2067,4,2,3,0,,Nick Separovich,House
Hao Jiang,ChanYahl,Auction Tue 25th Feb at 6pm,"12a Sylvia Street,",CHATSWOOD,NSW,2067,4,3,2,371m²,UPDATED,Hao Jiang,House
James Marshman,Forsyth Real Estate,Auction - Contact Agent,"1 Hercules Street,",CHATSWOOD,NSW,2067,4,1,1,"1,062m²",UPDATED,James Marshman,House
Isabella (Ni Yang Fang) Yan,Shead Property,Auction - Contact Agent,"1301/11 Railway Street,",CHATSWOOD,NSW,2067,3,2,2,180m²,UPDATED,Isabella (Ni Yang Fang) Yan,Apartment / Unit / Flat
Mendy Lau,DiJones - Chatswood,Auction - Contact Agent,"33/7 Freeman Road,",CHATSWOOD,NSW,2067,3,2,2,216m²,,Mendy Lau,Apartment / Unit / Flat
Claudia Conroy,Stone Real Estate Lindfield,Auction - Contact Agent,"2/15 Kooringa Road,",CHATSWOOD,NSW,2067,2,2,1,90m²,,Claudia Conroy,Apartment / Unit / Flat
Tony Walker,Shead Property,"Auction Guide - $920,000","16/2-6 Bowen Street,",CHATSWOOD,NSW,2067,2,1,1,0,,Tony Walker,Apartment / Unit / Flat
Alex Andonian,Stone Real Estate Roseville Willoughby,Auction - Contact Agent,"4/22-28 Bertram Street,",CHATSWOOD,NSW,2067,3,3,2,0,,Alex Andonian,House
Debbie Jepson,CobdenHayson Lane Cove,Contact Agent,"38/21 Johnson Street,",CHATSWOOD,NSW,2067,3,2,2,0,,Debbie Jepson,Apartment / Unit / Flat
John McManus,Ray White Lower North Shore Group,Auction,"29 Neridah Street,",CHATSWOOD,NSW,2067,4,2,3,923m²,,John McManus,House
John McManus,Ray White Lower North Shore Group,Auction,"75A Dalrymple Avenue,",CHATSWOOD,NSW,2067,3,2,2,358m²,,John McManus,House
,,"$4,420,000","71 Eddy Road,",CHATSWOOD,NSW,2067,7,4,5,0,SOLD,"Picture of 71 Eddy Road, CHATSWOOD NSW 2067",House
,,"$730,000","15/8-10 Eddy Road,",CHATSWOOD,NSW,2067,1,1,1,0,SOLD,"Picture of 15/8-10 Eddy Road, CHATSWOOD NSW 2067",Apartment / Unit / Flat
,,"$1,680,000","1802/37 Victor Street,",CHATSWOOD,NSW,2067,2,2,1,0,SOLD,"Picture of 1802/37 Victor Street, CHATSWOOD NSW 2067",Apartment / Unit / Flat
Adam Wong,DiJones - Chatswood,"Auction Guide $950,000","27/8-14 Bowen Street,",CHATSWOOD,NSW,2067,2,1,1,0,,Adam Wong,Apartment / Unit / Flat
Adam Wong,DiJones - Chatswood,Auction - Contact Agent,"21 Bertram Street,",CHATSWOOD,NSW,2067,4,2,2,0,,Adam Wong,House
Adam Wong,DiJones - Chatswood,Auction - Contact Agent,"22 Ferndale Street,",CHATSWOOD,NSW,2067,4,2,2,556m²,,Adam Wong,House
Jill Henry,Stone Real Estate Roseville Willoughby,Auction - Contact Agent,"9 Dulwich Road,",CHATSWOOD,NSW,2067,5,3,2,"1,025m²",,Jill Henry,House
Steven Lee,RMA Real Estate- Eastwood | Erskineville,Brand New Premium Townhouse,"1/6 Kooringa Road,",CHATSWOOD,NSW,2067,4,4,2,0,NEW HOME,Steven Lee,Townhouse
Matt Lai,ChanYahl,Auction Tue 18th Feb at 6pm,"9 Beauchamp Avenue,",CHATSWOOD,NSW,2067,5,3,2,741m²,,Matt Lai,House
Isabella (Ni Yang Fang) Yan,Shead Property,Auction - Contact Agent,"7/40-44 Fullers Road,",CHATSWOOD,NSW,2067,3,2,1,0,,Isabella (Ni Yang Fang) Yan,Apartment / Unit / Flat
Isabella (Ni Yang Fang) Yan,Shead Property,"Auction Guide $2,050,000","76 Fullers Road,",CHATSWOOD,NSW,2067,2,1,2,556m²,AUCTION SAT 8 FEB,Isabella (Ni Yang Fang) Yan,House
Hamish Gibbs,McGrath Crows Nest,"Auction Guide $950,000","1/778 Pacific Highway,",CHATSWOOD,NSW,2067,2,1,1,0,,Hamish Gibbs,Apartment / Unit / Flat
Timothy Chai,Ray White AY Realty Chatswood,"For Sale $760,000","5/812a Pacific Highway,",CHATSWOOD,NSW,2067,2,1,1,0,,Timothy Chai,Apartment / Unit / Flat
Andy Yeung,Ray White AY Realty Chatswood,"Auction guide $880,000","23/1C Kooringa Road,",CHATSWOOD,NSW,2067,2,1,1,0,,Andy Yeung,Apartment / Unit / Flat
Andy Yeung,Ray White AY Realty Chatswood,Auction - Contact Agent,"301/2A Help Street,",CHATSWOOD,NSW,2067,2,2,1,0,,Andy Yeung,Apartment / Unit / Flat
Tony Walker,Shead Property,"For Sale - Price Guide $2,500,000","2902/2A Help Street,",CHATSWOOD,NSW,2067,3,3,2,0,,Tony Walker,Apartment / Unit / Flat
Nick Separovich,Raine & Horne Lower North Shore,Auction - Contact Agent,"1/1-3 Havilah Street,",CHATSWOOD,NSW,2067,2,2,1,0,,Nick Separovich,Apartment / Unit / Flat
Andy Yeung,Ray White AY Realty Chatswood,For Sale - Contact Agent,"503/31 Bertram Street,",CHATSWOOD,NSW,2067,2,2,1,0,,Andy Yeung,Apartment / Unit / Flat
Andy Yeung,Ray White AY Realty Chatswood,"Price Guide $680,000","204/7 Oscar Street,",CHATSWOOD,NSW,2067,1,1,0,0,,Andy Yeung,Apartment / Unit / Flat
Andy Yeung,Ray White AY Realty Chatswood,"Price Guide $1,100,000","7/524-542 Pacific Highway,",CHATSWOOD,NSW,2067,2,2,1,0,,Andy Yeung,Apartment / Unit / Flat
Angel Tan,RMA Real Estate- Eastwood | Erskineville,Price Guide $3.39m,"4/6 Kooringa Road,",CHATSWOOD,NSW,2067,3,2,2,0,,Angel Tan,Townhouse
Andy Yeung,Ray White AY Realty Chatswood,"Price Guide $1,750,000","84A Millwood Avenue,",CHATSWOOD WEST,NSW,2067,3,1,2,0,,Andy Yeung,House
Andy Yeung,Ray White AY Realty Chatswood,"For Sale $830,000","15/552-554 Pacific Highway (rear of the block),",CHATSWOOD,NSW,2067,2,2,1,0,,Andy Yeung,Apartment / Unit / Flat
,,"$4,420,000","71 Eddy Road,",CHATSWOOD,NSW,2067,7,4,5,0,SOLD,"Picture of 71 Eddy Road, CHATSWOOD NSW 2067",House
,,"$730,000","15/8-10 Eddy Road,",CHATSWOOD,NSW,2067,1,1,1,0,SOLD,"Picture of 15/8-10 Eddy Road, CHATSWOOD NSW 2067",Apartment / Unit / Flat
,,"$1,680,000","1802/37 Victor Street,",CHATSWOOD,NSW,2067,2,2,1,0,SOLD,"Picture of 1802/37 Victor Street, CHATSWOOD NSW 2067",Apartment / Unit / Flat
Henry Wong,Ray White AY Realty Chatswood,For Sale - Contact Agent,"6 Devonshire Street,",CHATSWOOD,NSW,2067,5,3,2,689m²,,Henry Wong,House
