agent_name,agency_name,price,address_line1,suburb,state,postcode,bedrooms,bathrooms,car_spaces,SQM,listing_card_tag,alt_image,property_type
Rhonda Yim,BresicWhitney Inner West,"Guide $3,500,000","56 Little Riley Street,",SURRY HILLS,NSW,2010,3,3,1,0,NEW,Rhonda Yim,House
Rohan Alexander,Lifestyle Property Agency,Contact Agent,"91/220 Goulburn Street,",DARLINGHURST,NSW,2010,1,1,0,0,NEW,Lifestyle Property Agency,Apartment / Unit / Flat
Ben Collier,The Agency,Contact Agent,"131-133 Devonshire Street,",SURRY HILLS,NSW,2010,6,2,0,234m²,NEW,Ben Collier,House
Leonie Wells,Wells Real Estate,"Guide is $1,280,000","74/6-14 Oxford Street,",DARLINGHURST,NSW,2010,2,1,1,0,NEW,Leonie Wells,Apartment / Unit / Flat
Dalton Stewart,Ray White Touma Taylor,Contact Agent,"153/220 Goulburn Street,",DARLINGHURST,NSW,2010,0,1,0,0,NEW,Dalton Stewart,Studio
Ted Pye,Belle Property Surry Hills,Auction 8th March,"41/168 Goulburn Street,",SURRY HILLS,NSW,2010,1,1,1,0,NEW,Ted Pye,Apartment / Unit / Flat
Christopher Breedon,BresicWhitney Inner East,"Guide $1,100,000","4/99 Stanley Street,",DARLINGHURST,NSW,2010,1,1,0,0,NEW,Christopher Breedon,Apartment / Unit / Flat
Jason Boon,Richardson & Wrench Elizabeth Bay / Potts Point,Expressions of Interest,"3502/1 Kings Cross Road,",DARLINGHURST,NSW,2010,3,3,4,0,NEW,Jason Boon,Apartment / Unit / Flat
Josh Fleming,BresicWhitney Inner East,"Guide $875,000","14/15-27 Hutchinson Street,",SURRY HILLS,NSW,2010,1,1,0,0,NEW,Josh Fleming,Apartment / Unit / Flat
David Cradock,Wiseberry Enmore,Auction,"35 Samuel Street,",SURRY HILLS,NSW,2010,3,1,0,55m²,NEW,David Cradock,House
Blair Cardile,Belle Property Surry Hills,Auction 1st March,"7/424-430 Elizabeth Street,",SURRY HILLS,NSW,2010,1,1,0,0,NEW,Blair Cardile,Apartment / Unit / Flat
Imran Hamidi,Laing+Simmons East Group,Auction,"1303/1 Kings Cross Road,",DARLINGHURST,NSW,2010,1,1,1,79m²,NEW,Imran Hamidi,Apartment / Unit / Flat
Melinda Antella,BresicWhitney Inner East,"Guide $1,800,000","42 Thomson Street,",DARLINGHURST,NSW,2010,3,2,0,0,NEW,Melinda Antella,House
Ettiene West,Morton Circular Quay,Contact Agent,"1502/20 Pelican Street,",SURRY HILLS,NSW,2010,2,2,1,113m²,NEW,Ettiene West,Apartment / Unit / Flat
Melinda Antella,BresicWhitney Inner East,"Guide $750,000","33/6-14 Darley Street,",DARLINGHURST,NSW,2010,1,1,1,0,NEW,Melinda Antella,Apartment / Unit / Flat
Leon Parker,Belle Property Surry Hills,Auction 1st March,"508/105 Campbell Street,",SURRY HILLS,NSW,2010,1,1,0,0,NEW,Leon Parker,Apartment / Unit / Flat
Maclay Longhurst,Sydney Sotheby's International Realty,Price on request,"17/99 Stanley Street,",DARLINGHURST,NSW,2010,4,3,4,0,,Maclay Longhurst,Penthouse
Georgia Cleary,McGrath Paddington,"Price guide $1,600,000","144 Foveaux Street,",SURRY HILLS,NSW,2010,4,2,0,74m²,,Georgia Cleary,House
Dalton Stewart,Ray White Touma Taylor,Forthcoming Auction,"105/220 Goulburn Street,",DARLINGHURST,NSW,2010,1,1,0,0,,Dalton Stewart,Apartment / Unit / Flat
,,"$2,480,000","1105/1 Kings Cross Road,",DARLINGHURST,NSW,2010,2,2,1,0,SOLD,"Picture of 1105/1 Kings Cross Road, DARLINGHURST NSW 2010",Apartment / Unit / Flat
,,"$2,010,000","47 High Holborn Street,",SURRY HILLS,NSW,2010,3,1,0,0,SOLD,"Picture of 47 High Holborn Street, SURRY HILLS NSW 2010",House
,,"$580,000","1406/38-52 College Street,",DARLINGHURST,NSW,2010,1,1,0,0,SOLD,"Picture of 1406/38-52 College Street, DARLINGHURST NSW 2010",Apartment / Unit / Flat
Ted Pye,Belle Property Surry Hills,Auction 22nd February,"205/117 Kippax Street,",SURRY HILLS,NSW,2010,1,1,0,0,UPDATED,"Picture of 205/117 Kippax Street, SURRY HILLS NSW 2010",Apartment / Unit / Flat
Hong(gray) Zhang,Byton Realty Group,Just Listed,"Level 10, 104/18-32 Oxford Street,",DARLINGHURST,NSW,2010,2,1,1,0,UPDATED,"Picture of Level 10, 104/18-32 Oxford Street, DARLINGHURST NSW 2010",Apartment / Unit / Flat
David Smith-Cameron,BresicWhitney Inner East,"Guide $850,000","9/24 Royston Street,",DARLINGHURST,NSW,2010,1,1,0,0,UPDATED,David Smith-Cameron,Apartment / Unit / Flat
Shaun Stoker,Ray White Erskineville | Alexandria | Glebe | Surry Hills,Auction,"26 Belmore Street,",SURRY HILLS,NSW,2010,3,1,2,120m²,AUCTION SAT 8 FEB,Shaun Stoker,House
Leon Parker,Belle Property Surry Hills,Auction 15th February,"806/508 Riley Street,",SURRY HILLS,NSW,2010,1,1,0,0,UPDATED,Leon Parker,Apartment / Unit / Flat
