agent_name,agency_name,price,address_line1,suburb,state,postcode,bedrooms,bathrooms,car_spaces,SQM,listing_card_tag,alt_image,property_type
Andrew Harding,Ray White Darwin,AUCTION On-Site,"104 Ryland Road,",RAPID CREEK,NT,0810,5,3,4,0,NEW,Andrew Harding,House
Emily Sara,Ray White Darwin,"Offers over $430,000","205D/65 Progress Drive,",NIGHTCLIFF,NT,0810,2,2,2,0,NEW,Emily  Sara,Apartment / Unit / Flat
Andrew Harding,Ray White Darwin,AUCTION On-Site,"4 Bauhinia Street,",NIGHTCLIFF,NT,0810,5,3,4,"1,300m²",NEW,Andrew Harding,House
Sanjukta Ghosh,Ray White Darwin,"Price Guide: $1,790,0000","42 Hargrave Street,",MUIRHEAD,NT,0810,4,3,4,"4,020m²",UPDATED,Sanjukta  Ghosh,House
Want De Rowe Real Estate,,Contact Agent,"61 Aralia St,",NIGHTCLIFF,NT,0810,20,10,10,0,,Want De Rowe Real Estate,Block of units
Shyam Thapa,Wealthmax Real Estate,"Offers Over $799,999","26 Leitch Street,",MUIRHEAD,NT,0810,4,2,2,527m²,,Shyam Thapa,House
Nikki Vazanellis,Core Realty NT,"Offers Over $1,000,000","18 Parkinson Street,",MUIRHEAD,NT,0810,5,2,2,541m²,,Nikki Vazanellis,House
Shyam Thapa,Wealthmax Real Estate,"Offers Over $730,000","17 Wanguri Terrace,",WANGURI,NT,0810,4,2,2,776m²,,Shyam Thapa,House
,,"$355,000","6/17 Sunset Drive,",COCONUT GROVE,NT,0810,2,1,2,0,,,Apartment / Unit / Flat
Andrew Harding,Ray White Darwin,"AUCTION On-Site: Bidding from $1,200,000","5 Orchard Road,",COCONUT GROVE,NT,0810,4,3,2,0,AUCTION SAT 8 FEB,Andrew Harding,House
,,Expressions of Interest,"39 Sergison Circuit,",RAPID CREEK,NT,0810,6,2,4,"1,120m²",,,Block of units
Paul Heron,HERON PROPERTY,Offers over $1.295 million,"5 Hakea Street,",NIGHTCLIFF,NT,0810,5,3,4,884m²,,Paul Heron,House
Stewie Martin,,Openn Negotiation,"439 Trower Road,",BRINKIN,NT,0810,5,2,4,"1,170m²",NEW,Stewie Martin,House
Tom Kiem,,"$375,000","6/39 Ellengowan Drive,",BRINKIN,NT,0810,2,1,1,0,NEW,Tom Kiem,Apartment / Unit / Flat
Derek Hart,,Expressions of Interest,"28 Parer Drive,",WAGAMAN,NT,0810,5,2,2,682m²,NEW,Derek Hart,House
Sascha Smithett,,Offers Over $400K,"2/21 Sovereign Circuit,",COCONUT GROVE,NT,0810,2,2,2,0,NEW,Sascha Smithett,House
Paige Crow,,"Buying Guide $460,000","5/19 Undoolya Street,",TIWI,NT,0810,3,2,2,0,NEW,Paige Crow,Apartment / Unit / Flat
Susie Patton-Quinn,,"Price Guide $685,000","80 Adcock Crescent,",NAKARA,NT,0810,3,2,2,817m²,NEW,Susie Patton-Quinn,House
Darren Hunt,,"Price Guide $849,000","8 Coen Street,",WAGAMAN,NT,0810,5,2,4,732m²,UPDATED,Darren Hunt,House
