agent_name,agency_name,price,address_line1,suburb,state,postcode,bedrooms,bathrooms,car_spaces,SQM,listing_card_tag,alt_image,property_type
Chris Skarlatos,The Agency,Auction,"19 Bay Street,",BOTANY,NSW,2019,3,2,0,431m²,NEW,"Picture of 19 Bay Street, BOTANY NSW 2019",House
George Savva,Wentworth Partners,Contact Agent,"1/2 Hayden Place,",BOTANY,NSW,2019,1,1,0,0,NEW,"Picture of 1/2 Hayden Place, BOTANY NSW 2019",Apartment / Unit / Flat
Veronica Perez,PRD Perez Real Estate,Auction Saturday 8th March at 10:00am On-Site,"1508/43-45 Wilson Street,",BOTANY,NSW,2019,3,2,2,0,NEW,Veronica Perez,Apartment / Unit / Flat
Frank Adlard,Raine & Horne Maroubra,"FOR SALE - $715,000","4103/50 Pemberton Street,",BOTANY,NSW,2019,1,1,1,100m²,NEW,Frank Adlard,Apartment / Unit / Flat
Wan Hao (michelle) Cai,Leader Properties Real Estate,Contact Agent,"G2/2 Saxby Close,",BOTANY,NSW,2019,1,1,1,0,,Wan Hao (michelle) Cai,Apartment / Unit / Flat
Patrick Byron,McGrath Maroubra,"Guide $1,900,000","27 Hastings Street,",BOTANY,NSW,2019,4,2,2,453m²,UPDATED,Patrick Byron,House
Marnie Seinor,McGrath Coogee,"For Sale $2,549,000","8 Folkestone Parade,",BOTANY,NSW,2019,5,3,3,531m²,,Marnie Seinor,House
Sheridan Melrose,Laing+Simmons East Group,Contact Agent,"61 Trevelyan Street,",BOTANY,NSW,2019,5,3,3,916m²,,Sheridan Melrose,House
Peter Tsekenis,Ray White Brighton-Le-Sands,SALE | Contact Agent,"2610/55 Wilson Street,",BOTANY,NSW,2019,1,1,1,0,,Peter Tsekenis,Apartment / Unit / Flat
Marnie Seinor,McGrath Coogee,Contact Agent,"36/18 Morgan Street,",BOTANY,NSW,2019,2,2,2,0,,Marnie Seinor,Apartment / Unit / Flat
Danielle Leemhuis,McGrath Coogee,Contact Agent,"306/1356 Botany Road,",BOTANY,NSW,2019,0,1,1,78m²,,Danielle Leemhuis,Apartment / Unit / Flat
Billy Couldwell,NGFarah Pty Limited,Contact Agent,"4207/42-44 Pemberton Street,",BOTANY,NSW,2019,3,2,2,0,,Billy Couldwell,Apartment / Unit / Flat
Jenny Licha,Wolli Creek Real Estate,FOR SALE,"28/15 Edgehill Avenue,",BOTANY,NSW,2019,3,2,2,0,,Jenny Licha,Apartment / Unit / Flat
Michael Buium,Laing & Simmons Alexandria,Mortgagee Sale Priced to Sell,"102/6 Bay Street,",BOTANY,NSW,2019,1,1,1,0,,Michael Buium,Apartment / Unit / Flat
Mark Dawes,Richardson & Wrench Alexandria | Waterloo,"For Sale $1,150,000 - $1,225,000","4202/50 Pemberton Street,",BOTANY,NSW,2019,3,2,2,0,,Mark Dawes,Apartment / Unit / Flat
Kalaney Che,Raine & Horne Rhodes,Just Listed! Contact Agent,"2206/55 Wilson Street,",BOTANY,NSW,2019,2,2,2,0,,Kalaney Che,Apartment / Unit / Flat
Marnie Seinor,McGrath Coogee,Contact Agent,"24 Jasmine Street,",BOTANY,NSW,2019,4,4,2,0,AUCTION SAT 8 FEB,Marnie Seinor,House
Natalie Vega,Agents and Co Property Group,Auction 12th February,"265/26 Jasmine Street,",BOTANY,NSW,2019,1,1,1,107m²,AUCTION WED 12 FEB,Natalie Vega,Apartment / Unit / Flat
Nick Papas,Agents and Co Property Group,Auction 12th February,"40 Brighton Street,",BOTANY,NSW,2019,5,3,2,680m²,AUCTION WED 12 FEB,Nick Papas,House
Nick Papas,Agents and Co Property Group,Auction 12th February,"7 Queen Street,",BOTANY,NSW,2019,6,3,3,523m²,AUCTION WED 12 FEB,Nick Papas,House
,,"$635,000","2/1421 Botany Road,",BOTANY,NSW,2019,1,1,1,0,SOLD,"Picture of 2/1421 Botany Road, BOTANY NSW 2019",Apartment / Unit / Flat
,,"$1,000,000","25/16 Morgan Street,",BOTANY,NSW,2019,2,2,1,0,SOLD,"Picture of 25/16 Morgan Street, BOTANY NSW 2019",Apartment / Unit / Flat
,,"$850,000","G07/82 Bay Street,",BOTANY,NSW,2019,2,2,2,0,SOLD,"Picture of G07/82 Bay Street, BOTANY NSW 2019",Apartment / Unit / Flat
Luciana Jensen,Jensen Estate Agents,For Sale,"4203/42-44 Pemberton Street,",BOTANY,NSW,2019,1,1,1,0,,Luciana Jensen,Apartment / Unit / Flat
Michael Buium,Laing & Simmons Alexandria,Mortgagee Sale Priced to Sell,"411/6 Bay Street,",BOTANY,NSW,2019,1,1,1,0,,Michael Buium,Apartment / Unit / Flat
Michael Buium,Laing & Simmons Alexandria,Mortgagee Sale Priced to Sell,"302/6 Bay Street,",BOTANY,NSW,2019,2,2,1,0,,Michael Buium,Apartment / Unit / Flat
Melinda Seeto 陈嘉玲,Seeto Real Estate,"$865,000","1205/43-45 Wilson Street,",BOTANY,NSW,2019,2,2,2,155m²,,Melinda  Seeto 陈嘉玲,Apartment / Unit / Flat
Utsav Malla,Kims Realty Campsie,"Top Floor Apartment $699,000","514/72-86 Bay Street,",BOTANY,NSW,2019,1,1,1,0,,Kims Realty Campsie,Apartment / Unit / Flat
Crystal Yu,Decho Investment Alliance,Contact Agent,"401/18 Pemberton Street,",BOTANY,NSW,2019,2,2,2,0,,Crystal  Yu,Apartment / Unit / Flat
Stefan Jones,,FOR SALE | BRAND NEW,"8 Rose Street,",BOTANY,NSW,2019,3,3,2,0,,Stefan Jones,House
,,Contact agent,"304/1 Madden Close,",BOTANY,NSW,2019,2,2,2,129m²,,Fortune Connex Pty Ltd,Apartment / Unit / Flat
,,"$850,000","107/82 Bay Street,",BOTANY,NSW,2019,2,2,2,0,,Robert Allan Property,Apartment / Unit / Flat
,,Contact Agent,"214/6 Bay Street,",BOTANY,NSW,2019,2,2,2,0,,Sydney Assets Real Estate,Apartment / Unit / Flat
,,"For Sale $870,000-$930,000","503/19-21 Wilson St,",BOTANY,NSW,2019,2,2,2,0,NEW,The Property Investors Alliance,Apartment / Unit / Flat
,,"$880,000 - $900,000 Motivated Vendor","209/1 Madden Close,",BOTANY,NSW,2019,2,2,2,137m²,,Aych Group,Apartment / Unit / Flat
,,"For sale $670,000-695,000","3505/50 Pemberton Street,",BOTANY,NSW,2019,1,1,1,0,,McConnell Bourn,Apartment / Unit / Flat
,,Contact Agent,"Saxby Close,",BOTANY,NSW,2019,1,1,1,0,,Elders Hornsby,Apartment / Unit / Flat
,,"Price guide : $699,000","1.19/72-86 Bay St,",BOTANY,NSW,2019,1,1,1,87m²,,The Property Investors Alliance,Apartment / Unit / Flat
,,FOR SALE | BRAND NEW,"24 Rose Street,",BOTANY,NSW,2019,3,3,2,0,,365 Property Group,Terrace
,,"$635,000","2/1421 Botany Road,",BOTANY,NSW,2019,1,1,1,0,SOLD,"Picture of 2/1421 Botany Road, BOTANY NSW 2019",Apartment / Unit / Flat
,,"$1,000,000","25/16 Morgan Street,",BOTANY,NSW,2019,2,2,1,0,SOLD,"Picture of 25/16 Morgan Street, BOTANY NSW 2019",Apartment / Unit / Flat
,,"$850,000","G07/82 Bay Street,",BOTANY,NSW,2019,2,2,2,0,SOLD,"Picture of G07/82 Bay Street, BOTANY NSW 2019",Apartment / Unit / Flat
,,Contact Agent,"2410/55 Wilson Street,",BOTANY,NSW,2019,2,2,2,0,,MyPlace Estate Agents,Apartment / Unit / Flat
,,Contact Agent,"502/18 Pemberton St,",BOTANY,NSW,2019,1,1,1,0,,,Apartment / Unit / Flat
,,Contact Agent,"G04/18 Pemberton Street,",BOTANY,NSW,2019,2,2,2,148m²,,,Apartment / Unit / Flat
,,"$1,325,000","603/301 Botany Rd,",BOTANY,NSW,2019,2,2,1,0,,,Apartment / Unit / Flat
,,"$635,000","2/1421 Botany Road,",BOTANY,NSW,2019,1,1,1,0,SOLD,"Picture of 2/1421 Botany Road, BOTANY NSW 2019",Apartment / Unit / Flat
,,"$1,000,000","25/16 Morgan Street,",BOTANY,NSW,2019,2,2,1,0,SOLD,"Picture of 25/16 Morgan Street, BOTANY NSW 2019",Apartment / Unit / Flat
,,"$850,000","G07/82 Bay Street,",BOTANY,NSW,2019,2,2,2,0,SOLD,"Picture of G07/82 Bay Street, BOTANY NSW 2019",Apartment / Unit / Flat
