agent_name,agency_name,price,address_line1,suburb,state,postcode,bedrooms,bathrooms,car_spaces,SQM,listing_card_tag,alt_image,property_type
Nelson Dueza,Colliers Residential,Contact Agent,"21/94-98 Alfred Street,",MILSONS POINT,NSW,2061,2,2,1,0,NEW,Nelson Dueza,Apartment / Unit / Flat
Karl Hockey,Hockeys Property,Expression of Interest,"8 Parkes Street,",KIRRIBILLI,NSW,2061,4,3,2,465m²,NEW,Karl Hockey,House
Nigel Mukhi,McGrath McMahons Point,"Auction Guide: $580,000","7/35 Fitzroy Street,",KIRRIBILLI,NSW,2061,0,1,0,0,NEW,Nigel Mukhi,Studio
Nigel Mukhi,McGrath McMahons Point,Auction Guide: Contact Agent,"1/12 Peel Street,",KIRRIBILLI,NSW,2061,2,1,1,0,NEW,Nigel Mukhi,Apartment / Unit / Flat
Henry (He) Xiao,Tig Tag Real Estate,Contact Agent,"67/48-50 Alfred Street,",MILSONS POINT,NSW,2061,1,1,1,0,NEW,Henry (He) Xiao,Apartment / Unit / Flat
Deborah Richardson,Deborah Richardson Real Estate,Contact Agent,"6/40 Humphrey Place,",KIRRIBILLI,NSW,2061,0,1,0,0,,Deborah Richardson Real Estate,Apartment / Unit / Flat
Mark Jackson,Belle Property Crows Nest,Auction - Contact Agent,"2/3-5 Hipwood Street,",KIRRIBILLI,NSW,2061,2,1,1,0,,Mark Jackson,Apartment / Unit / Flat
Nigel Mukhi,McGrath McMahons Point,Auction | Price on Request,"1802/61 Lavender Street,",MILSONS POINT,NSW,2061,3,3,1,0,,Nigel Mukhi,Apartment / Unit / Flat
Victoria Liu,Richardson & Wrench North Sydney,Auction - Contact Agent,"504/61 Lavender Street,",MILSONS POINT,NSW,2061,2,2,1,0,,Victoria Liu,Apartment / Unit / Flat
Nick Barnett,Village Property Estate Agents,Auction,"1806/2 Dind Street,",MILSONS POINT,NSW,2061,3,2,2,0,,Nick Barnett,Apartment / Unit / Flat
Chris Bell,Milson Real Estate,CONTACT AGENT,"606/61 Lavender Street,",MILSONS POINT,NSW,2061,1,1,0,0,,Chris Bell,Apartment / Unit / Flat
Nigel Mukhi,McGrath McMahons Point,Auction - Contact Agent,"3/17 Holbrook Avenue,",KIRRIBILLI,NSW,2061,3,1,0,0,,Nigel Mukhi,Apartment / Unit / Flat
Chris Bell,Milson Real Estate,Contact Agent,"4/6 Glen Street,",MILSONS POINT,NSW,2061,0,1,0,0,,Chris Bell,Apartment / Unit / Flat
Sales Veip,Veip Property Group,CONTACT AGENT,"G04/61 Lavender Street,",MILSONS POINT,NSW,2061,2,3,0,0,,Sales Veip,Apartment / Unit / Flat
Michael Chant,Stone Real Estate Neutral Bay,"For Sale $2,300,000 - $2,400,000","22/21 Elamang Avenue,",KIRRIBILLI,NSW,2061,2,1,1,0,,Michael Chant,Apartment / Unit / Flat
Eddie Tremolada,Stone Real Estate Neutral Bay,For Sale - Contact Agent,"802/30 Glen Street,",MILSONS POINT,NSW,2061,3,3,2,0,,Eddie Tremolada,Apartment / Unit / Flat
Claudia Portale,The Agency North,Contact Agent,"1606/61 Lavender Street,",MILSONS POINT,NSW,2061,3,3,2,0,,Claudia Portale,Apartment / Unit / Flat
Peter Brack,Century 21 Radar Properties,Contact Agent,"8/23 Waruda Street,",KIRRIBILLI,NSW,2061,3,2,0,0,,Peter Brack,Apartment / Unit / Flat
Alicia Cao,888 ESTATE,Contact Agent,"202/8 Glen Street,",MILSONS POINT,NSW,2061,3,2,2,195m²,,Alicia Cao,Apartment / Unit / Flat
Spencer Sun,Sydney Sotheby's International Realty,For Sale,"401/8 Glen Street,",MILSONS POINT,NSW,2061,3,2,2,0,,Spencer Sun,Apartment / Unit / Flat
,,"$2,380,000","605/30 Alfred Street South,",MILSONS POINT,NSW,2061,2,2,1,95m²,SOLD,"Picture of 605/30 Alfred Street South, MILSONS POINT NSW 2061",Apartment / Unit / Flat
,,"$4,450,000","4 Hipwood Street,",KIRRIBILLI,NSW,2061,4,2,1,0,SOLD,"Picture of 4 Hipwood Street, KIRRIBILLI NSW 2061",House
,,"$772,999","49/20 Carabella Street,",KIRRIBILLI,NSW,2061,1,1,1,0,SOLD,"Picture of 49/20 Carabella Street, KIRRIBILLI NSW 2061",Studio
