agent_name,agency_name,price,address_line1,suburb,state,postcode,bedrooms,bathrooms,car_spaces,SQM,listing_card_tag,alt_image,property_type
Garo Karamanian,Century 21 Seiwa,"$850,000 to $890,000","102/4-14 Merriwa Street,",GORDON,NSW,2072,2,2,1,0,NEW,"Picture of 102/4-14 Merriwa Street, GORDON NSW 2072",Apartment / Unit / Flat
Jing Peng,LJ Hooker Gordon,Auction! Contemporary Retreat!,"19A Bushlands Avenue,",GORDON,NSW,2072,6,5,3,"2,656m²",UPDATED,Jing Peng,House
Jessica Liu,The Marshall Group RE,"For Sale $1,350,000","201/77 Ridge Street,",GORDON,NSW,2072,3,2,2,0,,Jessica Liu,Apartment / Unit / Flat
Jessica Liu,The Marshall Group RE,Auction 1st March,"107/2-6 Pearson Avenue,",GORDON,NSW,2072,2,2,1,0,,Jessica Liu,Apartment / Unit / Flat
David Botros,McGrath Hornsby,Auction - 22nd February @ 4:30pm,"43 Waugoola Street,",GORDON,NSW,2072,5,4,2,0,,David Botros,House
Justin Jia,DiJones Upper North Shore,"Auction Guide $1,200,000","B4/803-805 Pacific Highway,",GORDON,NSW,2072,3,2,2,0,,Justin Jia,Apartment / Unit / Flat
Domenic Maxwell,Ray White Upper North Shore,"For Sale $789,000","104/27 Merriwa Street,",GORDON,NSW,2072,2,2,1,0,,Domenic Maxwell,Apartment / Unit / Flat
Stephen Sales,Luschwitz Real Estate,FOR SALE,"02/47 Dumaresq Street,",GORDON,NSW,2072,4,4,2,0,NEW HOME,Stephen Sales,New apartments / off the plan
Alan Yeung,ALAN'S PROPERTY SERVICES,Contact Agent,"308/77 Ridge Street,",GORDON,NSW,2072,2,2,1,0,,Alan Yeung,Apartment / Unit / Flat
Rebecca Ying Li,McGrath Epping,"$650,000 - $700,000","210/71 Ridge Street,",GORDON,NSW,2072,1,1,1,0,,Rebecca Ying Li,Apartment / Unit / Flat
Fiona (Fan) Cheng,Elders Hornsby,Contact Agent,"B106/888 Pacific Highway,",GORDON,NSW,2072,2,2,1,0,,Fiona (Fan) Cheng,Apartment / Unit / Flat
Scott Phillips,Ray White Upper North Shore,"Auction Saturday 22 February, 1pm","22 Lennox Street,",GORDON,NSW,2072,4,2,1,809m²,,Scott Phillips,House
Domenic Maxwell,Ray White Upper North Shore,"Auction Tuesday 11 February, 6pm","22/23-31 McIntyre Street,",GORDON,NSW,2072,1,1,1,0,AUCTION TUE 11 FEB,Domenic Maxwell,Apartment / Unit / Flat
Sima Akbarian,Asset Realty,"Price range: $580,000 - $630,000","404/77 Ridge Street,",GORDON,NSW,2072,1,1,1,0,,Sima Akbarian,Apartment / Unit / Flat
Sarah Zhou,The Marshall Group RE,Contact Agent,"402/30 Henry Street,",GORDON,NSW,2072,2,2,2,0,,Sarah Zhou,Apartment / Unit / Flat
Konstantin Melnikov,Morton Crows Nest,Contact Agent,"37/728 Pacific Highway,",GORDON,NSW,2072,3,2,2,0,,Konstantin Melnikov,Apartment / Unit / Flat
Shelley Xiaoxi Wang,Landon Realty,"Price Guide $565,000","202/77 Ridge St,",GORDON,NSW,2072,1,1,1,0,,Shelley Xiaoxi Wang,Apartment / Unit / Flat
Anna Xianghua An,A.Gent & Co,Contact Agent,"27/16-22 Dumaresq Street,",GORDON,NSW,2072,3,2,2,0,,Anna Xianghua An,Apartment / Unit / Flat
,,For Sale: Contact Agent,"102/30-34 Henry Street,",GORDON,NSW,2072,2,2,1,0,,Stone Real Estate Lindfield,Apartment / Unit / Flat
,,"$3,700,000","97 St Johns Avenue,",GORDON,NSW,2072,6,3,2,910m²,SOLD,"Picture of 97 St Johns Avenue, GORDON NSW 2072",House
,,"$840,000","76/35-39 Dumaresq Street,",GORDON,NSW,2072,2,2,2,0,SOLD,"Picture of 76/35-39 Dumaresq Street, GORDON NSW 2072",Apartment / Unit / Flat
,,"$3,100,000","3 Taylor street,",GORDON,NSW,2072,5,2,2,"1,410m²",SOLD,"Picture of 3 Taylor street, GORDON NSW 2072",House
,,"G $500,000","305/904-914 Pacific Highway,",GORDON,NSW,2072,1,1,0,0,,Stone Real Estate Lindfield,Studio
,,"Guide $800,000-$850,000","508/904-914 Pacific Highway,",GORDON,NSW,2072,2,2,1,0,UPDATED,LJ Hooker Gordon,Apartment / Unit / Flat
,,"$2,350,000 - $2,585,000","36/728-730 Pacific Highway,",GORDON,NSW,2072,3,2,2,0,,For Sale By Owner Australia,Apartment / Unit / Flat
,,Contact agent,"77 Ridge St,",GORDON,NSW,2072,2,2,1,0,,IC TAF REALTY,Apartment / Unit / Flat
,,"$700,000-$750,000 For Sale","304/30-34 Henry Street,",GORDON,NSW,2072,1,1,1,0,,LJ Hooker Gordon,Apartment / Unit / Flat
,,"Guide $700,000","407/30-34 Henry Street,",GORDON,NSW,2072,1,1,1,0,,The Agency North,Apartment / Unit / Flat
,,"For Sale $660,000","34/728-730 Pacific Highway,",GORDON,NSW,2072,1,1,1,0,,Ray White AY Realty Chatswood,Apartment / Unit / Flat
,,Just Listed Contact Agent,"20 McIntyre St,",GORDON,NSW,2072,2,2,1,0,,RentBetter,Apartment / Unit / Flat
,,"For Sale $980,000 - $990,000","717/8 Merriwa Street,",GORDON,NSW,2072,2,2,2,0,,Ray White AY Realty Chatswood,Apartment / Unit / Flat
,,"For Sale $900,000 - $990,000","G07/20 McIntyre Street,",GORDON,NSW,2072,2,2,1,0,,Belle Property Wahroonga | Hornsby | Pymble | Thornleigh,Apartment / Unit / Flat
,,"Open cancelled, contracts exchanged","29/1-5 Mount William Street,",GORDON,NSW,2072,2,2,1,0,,Bridgeway Realty,Apartment / Unit / Flat
,,Contact Agent,"101/888A Pacific Highway,",GORDON,NSW,2072,2,2,1,0,,Raine & Horne Rhodes,Apartment / Unit / Flat
,,"$760,000 For Sale","803/904-914 Pacific Highway,",GORDON,NSW,2072,2,2,1,0,,LJ Hooker Gordon,Apartment / Unit / Flat
,,"$2,100,000","7/29-31 Moree Street,",GORDON,NSW,2072,3,2,2,0,,100% Sold Realty,Townhouse
,,Contact Agent,"3 Fitzsimons Lane,",GORDON,NSW,2072,2,2,1,0,,Regal Realty Group,Apartment / Unit / Flat
,,"$3,700,000","97 St Johns Avenue,",GORDON,NSW,2072,6,3,2,910m²,SOLD,"Picture of 97 St Johns Avenue, GORDON NSW 2072",House
,,"$840,000","76/35-39 Dumaresq Street,",GORDON,NSW,2072,2,2,2,0,SOLD,"Picture of 76/35-39 Dumaresq Street, GORDON NSW 2072",Apartment / Unit / Flat
,,"$3,100,000","3 Taylor street,",GORDON,NSW,2072,5,2,2,"1,410m²",SOLD,"Picture of 3 Taylor street, GORDON NSW 2072",House
