agent_name,agency_name,price,address_line1,suburb,state,postcode,bedrooms,bathrooms,car_spaces,SQM,listing_card_tag,alt_image,property_type
Olivia Pile,Ray White Dubbo,"$620,000 - $645,000","64 Murrayfield Drive,",DUBBO,NSW,2830,4,2,2,767m²,,"Picture of 64 Murrayfield Drive, DUBBO NSW 2830",House
Jodie Brightman,Ray White Dubbo,"$740,000 - $810,000","12 Timgarlen Avenue,",DUBBO,NSW,2830,4,2,2,0,NEW,"Picture of 12 Timgarlen Avenue, DUBBO NSW 2830",House
Melissa Culkin,Ray White Dubbo,"$580,000 - $620,000","52 Meek Street,",DUBBO,NSW,2830,3,2,2,0,NEW,"Picture of 52 Meek Street, DUBBO NSW 2830",House
Olivia Pile,Ray White Dubbo,"$620,000 - $645,000","64 Murrayfield Drive,",DUBBO,NSW,2830,4,2,2,767m²,,"Picture of 64 Murrayfield Drive, DUBBO NSW 2830",House
Jodie Brightman,Ray White Dubbo,"$740,000 - $810,000","12 Timgarlen Avenue,",DUBBO,NSW,2830,4,2,2,0,NEW,"Picture of 12 Timgarlen Avenue, DUBBO NSW 2830",House
Melissa Culkin,Ray White Dubbo,"$580,000 - $620,000","52 Meek Street,",DUBBO,NSW,2830,3,2,2,0,NEW,"Picture of 52 Meek Street, DUBBO NSW 2830",House
Olivia Pile,Ray White Dubbo,"$620,000 - $645,000","64 Murrayfield Drive,",DUBBO,NSW,2830,4,2,2,767m²,,"Picture of 64 Murrayfield Drive, DUBBO NSW 2830",House
Melissa Culkin,Ray White Dubbo,"$580,000 - $620,000","52 Meek Street,",DUBBO,NSW,2830,3,2,2,0,NEW,"Picture of 52 Meek Street, DUBBO NSW 2830",House
Stuart Rae,Raine & Horne Dubbo,"$1,050,000 - $1,150,000","26 Allandale Drive,",DUBBO,NSW,2830,4,2,2,798m²,NEW,Stuart Rae,House
Kim Hamilton,Raine & Horne Dubbo,"$420,000 - $440,000","22 Salter Drive,",DUBBO,NSW,2830,3,1,2,612m²,NEW,Kim Hamilton,House
Kim Hamilton,Raine & Horne Dubbo,"$460,000 - $480,000","14 Sturt Circle,",DUBBO,NSW,2830,3,1,2,793m²,NEW,Kim Hamilton,House
Brentley Goodwin,Raine & Horne Dubbo,"$485,000 - $515,000","3 Hopetoun Street,",DUBBO,NSW,2830,3,1,1,538m²,NEW,Brentley Goodwin,House
Tara Searle,Dubbo Real Estate Agency,Offers Invited,"11/48 Birch Avenue,",DUBBO,NSW,2830,3,2,1,0,NEW,Tara Searle,Townhouse
Jodie Brightman,Ray White Dubbo,"$740,000 - $810,000","12 Timgarlen Avenue,",DUBBO,NSW,2830,4,2,2,0,NEW,Jodie Brightman,House
Richard Tegart,Ray White Dubbo,Auction,"90 Cobra Street,",DUBBO,NSW,2830,2,2,1,0,NEW,Richard Tegart,House
Tara Searle,Dubbo Real Estate Agency,Offers Invited!,"402 Macquarie Street,",DUBBO,NSW,2830,4,2,2,911m²,NEW,Tara Searle,Duplex
Brentley Goodwin,Raine & Horne Dubbo,"$825,000 - $865,000","17 Current Court,",DUBBO,NSW,2830,4,2,2,601m²,NEW,Brentley Goodwin,House
Kristy Barber,Platinum Property Group Dubbo,"$415,000","152 Bunglegumbie Road,",DUBBO,NSW,2830,2,1,2,683m²,NEW,Kristy Barber,House
Kristy Barber,Platinum Property Group Dubbo,"$355,000","10 Leavers Street,",DUBBO,NSW,2830,3,1,1,613m²,NEW,Kristy Barber,House
Ken Mongan,Raine & Horne Dubbo,"$530,000 - $570,000","42 Catherine Drive,",DUBBO,NSW,2830,4,2,1,581m²,NEW,Ken Mongan,House
Karen Chant,Chant and Co,New to Market,"3/1A Furney Street,",DUBBO,NSW,2830,2,1,1,0,NEW,Karen Chant,Apartment / Unit / Flat
Gabriella Chan,Elders Real Estate Dubbo,"$630,000 - $660,000","3 Kent Place,",DUBBO,NSW,2830,4,2,2,800m²,NEW,Gabriella Chan,House
Tara Searle,Dubbo Real Estate Agency,Offers Invited,"9 Gumtree Avenue,",DUBBO,NSW,2830,3,1,1,848m²,UPDATED,Tara Searle,House
Matthew Hansen,Matt Hansen Real Estate,"$820,000-$890,000","10 Carnegie Avenue,",DUBBO,NSW,2830,5,3,2,0,UPDATED,Matthew Hansen,House
Brentley Goodwin,Raine & Horne Dubbo,"$925,000 - $995,000","28R Debeaufort Drive,",DUBBO,NSW,2830,5,2,6,"14,973m²",UPDATED,Brentley Goodwin,House
Jane Donald,Bob Berry Real Estate,"$515,000 to $530,000","15 Page Avenue,",DUBBO,NSW,2830,4,1,1,441m²,,Jane Donald,House
Jane Donald,Bob Berry Real Estate,"$490,000 to $510,000","5 Horizon Place,",DUBBO,NSW,2830,4,1,1,650m²,,Jane Donald,House
,,"$680,000","21 Belmore Place,",DUBBO,NSW,2830,3,1,1,561m²,SOLD,"Picture of 21 Belmore Place, DUBBO NSW 2830",House
,,"$840,000","7 Pebble Beach Drive,",DUBBO,NSW,2830,4,2,2,"1,414m²",SOLD,"Picture of 7 Pebble Beach Drive, DUBBO NSW 2830",House
,,"$460,000","56 Young Street,",DUBBO,NSW,2830,3,1,2,556m²,SOLD,"Picture of 56 Young Street, DUBBO NSW 2830",House
Jane Donald,Bob Berry Real Estate,"$540,000 to $560,000","28 Moonah Street,",DUBBO,NSW,2830,4,2,2,842m²,,"Picture of 28 Moonah Street, DUBBO NSW 2830",House
Michael Redden,Redden Family Real Estate,Offers Invited!,"3 East Street,",DUBBO,NSW,2830,4,2,2,645m²,,"Picture of 3 East Street, DUBBO NSW 2830",House
Gabriella Chan,Elders Real Estate Dubbo,Onsite Auction SAT 22/02/2025,"360 Fitzroy Street,",DUBBO,NSW,2830,3,1,1,806m²,,Gabriella Chan,House
Brentley Goodwin,Raine & Horne Dubbo,"$795,000 - $865,000","35 Carnegie Avenue,",DUBBO,NSW,2830,5,2,2,840m²,,Brentley Goodwin,House
Brentley Goodwin,Raine & Horne Dubbo,"$985,000 - $1,045,000","79 Lincoln Parkway,",DUBBO,NSW,2830,4,2,2,852m²,,Brentley Goodwin,House
Brentley Goodwin,Raine & Horne Dubbo,"$545,000 - $565,000","50 Davidson Drive,",DUBBO,NSW,2830,4,1,2,770m²,,Brentley Goodwin,House
Olivia Pile,Ray White Dubbo,"$620,000 - $645,000","64 Murrayfield Drive,",DUBBO,NSW,2830,4,2,2,767m²,,Olivia Pile,House
Brentley Goodwin,Raine & Horne Dubbo,"$485,000 - $515,000","16 Epsom Avenue,",DUBBO,NSW,2830,3,1,2,642m²,,Brentley Goodwin,House
Simon Scoles,Raine & Horne Dubbo,"$420,000 - $450,000","37 North Street,",DUBBO,NSW,2830,4,2,2,891m²,,Simon Scoles,House
Matthew Hansen,Matt Hansen Real Estate,"$1,100,000 - $1,200,000","2R Thurloo Road,",DUBBO,NSW,2830,5,2,3,0,,Matthew Hansen,House
Brentley Goodwin,Raine & Horne Dubbo,"$575,000 - $620,000","26 Kingfisher Street,",DUBBO,NSW,2830,3,1,5,755m²,,Brentley Goodwin,House
Prajwal Shrestha,Elders Real Estate Dubbo,"$580,000 to $610,000","143 Birch Avenue,",DUBBO,NSW,2830,3,2,1,722m²,,Prajwal Shrestha,House
Monica Henley,The Agency Central West NSW,"$1,500,000","44 Tamworth Street,",DUBBO,NSW,2830,5,3,4,"2,086m²",,Monica Henley,House
