agent_name,agency_name,price,address_line1,suburb,state,postcode,bedrooms,bathrooms,car_spaces,SQM,listing_card_tag,alt_image,property_type
Angela Gladstone,NGFarah Pty Limited,For Sale,"113/438-448 Anzac Parade,",KINGSFORD,NSW,2032,2,1,1,0,,"Picture of 113/438-448 Anzac Parade, KINGSFORD NSW 2032",Apartment / Unit / Flat
Stephanie Farah,NGFarah Pty Limited,SOLD PRIOR TO AUCTION,"11/117-119 Houston Road,",KINGSFORD,NSW,2032,2,1,2,0,,"Picture of 11/117-119 Houston Road, KINGSFORD NSW 2032",Apartment / Unit / Flat
Theo Karangis,NGFarah Pty Limited,Auction | Onsite 22nd February,"178 Cottenham Avenue,",KINGSFORD,NSW,2032,2,1,2,284m²,,"Picture of 178 Cottenham Avenue, KINGSFORD NSW 2032",Semi-detached
Angela Gladstone,NGFarah Pty Limited,For Sale,"113/438-448 Anzac Parade,",KINGSFORD,NSW,2032,2,1,1,0,,"Picture of 113/438-448 Anzac Parade, KINGSFORD NSW 2032",Apartment / Unit / Flat
Stephanie Farah,NGFarah Pty Limited,SOLD PRIOR TO AUCTION,"11/117-119 Houston Road,",KINGSFORD,NSW,2032,2,1,2,0,,"Picture of 11/117-119 Houston Road, KINGSFORD NSW 2032",Apartment / Unit / Flat
Theo Karangis,NGFarah Pty Limited,Auction | Onsite 22nd February,"178 Cottenham Avenue,",KINGSFORD,NSW,2032,2,1,2,284m²,,"Picture of 178 Cottenham Avenue, KINGSFORD NSW 2032",Semi-detached
Angela Gladstone,NGFarah Pty Limited,For Sale,"113/438-448 Anzac Parade,",KINGSFORD,NSW,2032,2,1,1,0,,"Picture of 113/438-448 Anzac Parade, KINGSFORD NSW 2032",Apartment / Unit / Flat
Theo Felekos,Ray White Kingsford,EOI I Theo Felekos,"74 Eastern Ave,",KINGSFORD,NSW,2032,4,2,1,459m²,NEW,"Picture of 74 Eastern Ave, KINGSFORD NSW 2032",House
Tony Laing,The Agency,Contact Agent,"20/50-54 Forsyth Street,",KINGSFORD,NSW,2032,1,1,1,0,NEW,Tony Laing,Apartment / Unit / Flat
Roger Wardy,Ray White Touma Taylor,Auction Sat 1st March,"116/438-448 Anzac Parade,",KINGSFORD,NSW,2032,2,1,1,0,NEW,Roger Wardy,Apartment / Unit / Flat
Matt Marano,Oxford Agency,Auction,"27 Aboud Avenue,",KINGSFORD,NSW,2032,3,2,1,453m²,NEW,Matt Marano,House
Danielle Leemhuis,McGrath Coogee,Contact Agent,"13/45-49 Harbourne Road,",KINGSFORD,NSW,2032,2,2,1,0,NEW,Danielle Leemhuis,Apartment / Unit / Flat
Tony Kalofonos,Belle Property Randwick,Auction | 1st March,"33 Araluen Street,",KINGSFORD,NSW,2032,3,2,2,386m²,NEW,Tony Kalofonos,House
Megan Widjaja,Richardson & Wrench Maroubra,Auction 22nd February,"27 Walenore Avenue,",KINGSFORD,NSW,2032,3,1,2,502m²,UPDATED,Megan Widjaja,House
Alon Beran,Sydney Sotheby's International Realty,Auction - Contact Agent,"18 Cook Avenue,",DACEYVILLE,NSW,2032,3,1,0,297m²,UPDATED,Alon Beran,House
Marnie Seinor,McGrath Coogee,Contact Agent,"21 McNair Avenue,",KINGSFORD,NSW,2032,3,1,1,346m²,,Marnie Seinor,House
Roger Wardy,Ray White Touma Taylor,Auction Sat 1st March,"41 Leonard Avenue,",KINGSFORD,NSW,2032,4,2,2,290m²,,Roger Wardy,House
Tony Kalofonos,Belle Property Randwick,Auction | 22nd Feburary,"9/53-55 Forsyth Street,",KINGSFORD,NSW,2032,2,1,1,0,,Tony Kalofonos,Apartment / Unit / Flat
Kevin Fine,Ray White The Woollahra Group,Forthcoming Auction:,"31 Hincks Street,",KINGSFORD,NSW,2032,3,1,2,364m²,,Kevin Fine,House
Ferry Suwito,Ray White Kingsford,Auction (Unless Sold Prior),"14/40-42 Forsyth Street,",KINGSFORD,NSW,2032,3,2,2,0,,Ferry Suwito,Apartment / Unit / Flat
George Mihaelidis,McGrath Maroubra,Price on request,"16/133 Bunnerong Road,",KINGSFORD,NSW,2032,2,1,1,88m²,,George Mihaelidis,Apartment / Unit / Flat
Daniel Cachia,PPD Real Estate,Auction 22 February,"52 Botany Street,",KINGSFORD,NSW,2032,5,3,2,390m²,,Daniel Cachia,House
Kiki Bermudez,Raine&Horne Unlimited,Auction,"718 Anzac Parade,",KINGSFORD,NSW,2032,3,1,2,0,,Kiki Bermudez,House
Conor Howard,NGFarah Pty Limited,Auction,"47 Tunstall Avenue,",KINGSFORD,NSW,2032,5,2,3,752m²,,Conor Howard,House
Nathan Lang,NGFarah Pty Limited,Price on Request,"4/1-5 Sturt Street,",KINGSFORD,NSW,2032,3,2,1,0,,Nathan Lang,Townhouse
Roger Wardy,Ray White Touma Taylor,Auction Sat 8th February,"4/51 Willis Street,",KINGSFORD,NSW,2032,3,2,2,198m²,AUCTION SAT 8 FEB,Roger Wardy,Apartment / Unit / Flat
,,"$4,020,000","4 Norton Street,",KINGSFORD,NSW,2032,5,3,4,0,SOLD,"Picture of 4 Norton Street, KINGSFORD NSW 2032",House
,,"$2,290,000","84A Botany Street,",KINGSFORD,NSW,2032,4,2,2,0,SOLD,"Picture of 84A Botany Street, KINGSFORD NSW 2032",House
,,"$2,700,000","43 Harbourne Road,",KINGSFORD,NSW,2032,3,2,1,0,SOLD,"Picture of 43 Harbourne Road, KINGSFORD NSW 2032",House
