agent_name,agency_name,price,address_line1,suburb,state,postcode,bedrooms,bathrooms,car_spaces,SQM,listing_card_tag,alt_image,property_type
Jason Roach,The Agency North,Auction,"12 May Street,",TURRAMURRA,NSW,2074,4,3,2,"1,030m²",NEW,Jason Roach,House
Sash Aptaker,Aptaker & Associates,Auction Saturday 8th March,"51 The Chase Road,",TURRAMURRA,NSW,2074,5,4,4,"1,189m²",NEW,Sash Aptaker,House
Sash Aptaker,Aptaker & Associates,Auction Saturday 8th March,"54 Princes Street,",TURRAMURRA,NSW,2074,5,3,3,"1,878m²",NEW,Sash Aptaker,House
Michael Doran,Belle Property Wahroonga | Hornsby | Pymble | Thornleigh,Auction,"36 Parkinson Avenue,",TURRAMURRA,NSW,2074,4,3,2,0,NEW,Michael Doran,House
Anna Cavill,The Cavill Group,Auction 8th March 4pm,"15 Allara Avenue,",TURRAMURRA,NSW,2074,4,2,1,929m²,NEW,Anna Cavill,House
Adam McKay,Ray White Upper North Shore,"Auction Saturday 1 March, 4pm","9 Turuga Street,",TURRAMURRA,NSW,2074,5,4,2,0,NEW,Adam McKay,House
Liana Power,Ray White Upper North Shore,"Auction Saturday 1st March, 5pm","34 Monteith Street,",TURRAMURRA,NSW,2074,4,1,2,663m²,NEW,Liana Power,House
Daniel Cook,McGrath St Ives,Contact Agent,"121 Pentecost Avenue,",TURRAMURRA,NSW,2074,4,2,2,"1,026m²",NEW,Daniel Cook,House
Douglas Kim,Stone Real Estate Beecroft,"Auction Guide $750,000","516/1454 Pacific Highway,",TURRAMURRA,NSW,2074,2,2,1,0,,Douglas Kim,Apartment / Unit / Flat
Domenic Maxwell,Ray White Upper North Shore,"For Sale $829,000","14/1 Duff Street,",TURRAMURRA,NSW,2074,2,2,1,0,,Domenic Maxwell,Apartment / Unit / Flat
Noel Zammit,DiJones Upper North Shore,Auction - Contact Agent,"88B Warragal Road,",TURRAMURRA,NSW,2074,5,3,2,"3,750m²",UPDATED,Noel Zammit,House
Linda Ratcliff,DiJones Upper North Shore,"Auction Guide $2,250,000","232 Kissing Point Road,",TURRAMURRA,NSW,2074,4,3,4,859m²,UPDATED,Linda Ratcliff,House
Caitlin Hardy,Pello - Upper North Shore,Auction - 22nd February,"7 Marshall Avenue,",WARRAWEE,NSW,2074,4,3,2,"1,201m²",UPDATED,Caitlin Hardy,House
Domenic Maxwell,Ray White Upper North Shore,"Price guide $690,000","21/1219-1223 Pacific Highway,",TURRAMURRA,NSW,2074,2,2,1,0,UPDATED,Domenic Maxwell,Apartment / Unit / Flat
Alex Mintorn,Pello - Upper North Shore,Auction - 15th February,"14 Wolsten Avenue,",TURRAMURRA,NSW,2074,4,2,2,"1,448m²",UPDATED,Alex Mintorn,House
Ray Talati,DiJones Upper North Shore,"Auction Guide $2,800,000","137 Burns Road,",TURRAMURRA,NSW,2074,4,2,4,"2,327m²",UPDATED,Ray Talati,House
David Walker,Ray White Upper North Shore,"Price Guide $4,500,000","49 Turramurra Avenue,",TURRAMURRA,NSW,2074,5,2,2,815m²,UPDATED,David Walker,House
Domenic Maxwell,Ray White Upper North Shore,"For Sale $1,595,000","2/116-120 Eastern Road,",TURRAMURRA,NSW,2074,3,2,1,0,UPDATED,Domenic Maxwell,Retirement Living
