agent_name,agency_name,price,address_line1,suburb,state,postcode,bedrooms,bathrooms,car_spaces,SQM,listing_card_tag,alt_image,property_type
Dean Power,Raine & Horne Double Bay,Auction,"11/65 Birriga Road,",BELLEVUE HILL,NSW,2023,2,1,0,0,,"Picture of 11/65 Birriga Road, BELLEVUE HILL NSW 2023",Apartment / Unit / Flat
Hannan Bouskila,Raine & Horne Double Bay,Auction,"11/175 Victoria Road,",BELLEVUE HILL,NSW,2023,2,1,0,0,NEW,Hannan Bouskila,Apartment / Unit / Flat
Paul Biller,Biller Property,Expressions of Interest,"60 Victoria Road,",BELLEVUE HILL,NSW,2023,8,7,4,920m²,NEW,Paul Biller,House
Michael Pallier,Sydney Sotheby's International Realty,Auction,"36 Bundarra Road,",BELLEVUE HILL,NSW,2023,4,2,1,695m²,NEW,Michael Pallier,House
Nathan Ryland,Ray White Double Bay,Auction,"1/275 O'Sullivan Road,",BELLEVUE HILL,NSW,2023,2,1,1,0,NEW,Nathan Ryland,Apartment / Unit / Flat
Thomas Popple,Ray White Double Bay,Auction,"8/204-206 Old South Head Road,",BELLEVUE HILL,NSW,2023,2,2,1,0,NEW,Thomas Popple,Apartment / Unit / Flat
Richard Faludi,Raine & Horne Double Bay,"For Sale | $2,625,000","9/103A Birriga Road,",BELLEVUE HILL,NSW,2023,3,2,2,0,NEW,Richard Faludi,Apartment / Unit / Flat
Joseph Raskin,Sydney Sotheby's International Realty,Contact Agent,"25 Birriga Road,",BELLEVUE HILL,NSW,2023,17,12,12,0,NEW,Joseph Raskin,House
CAE THOMAS,TRG,Expressions of Interest,"85-87 Birriga Road,",BELLEVUE HILL,NSW,2023,26,17,16,0,NEW,CAE THOMAS,House
David Malouf,Highland Double Bay,Expressions of Interest,"45 Kambala Road,",BELLEVUE HILL,NSW,2023,5,6,7,0,,David Malouf,House
Theo Karangis,NGFarah Pty Limited,Auction | Onsite 22nd February,"3/38 Birriga Road,",BELLEVUE HILL,NSW,2023,3,2,2,0,,Theo Karangis,Apartment / Unit / Flat
Elliott Placks,Ray White Double Bay,"Auction Guide | $12,000,000","47a Drumalbyn Road,",BELLEVUE HILL,NSW,2023,5,3,4,0,,Elliott Placks,House
Elliott Placks,Ray White Double Bay,Auction,"24 Kambala Road,",BELLEVUE HILL,NSW,2023,5,3,2,0,UPDATED,Elliott Placks,House
Warren Ginsberg,Ray White Double Bay,"Auction | Buyer's Guide $10,500,000","38A Bulkara Road,",BELLEVUE HILL,NSW,2023,5,3,3,0,UPDATED,Warren Ginsberg,House
GAVIN RUBINSTEIN,TRG,Auction,"2 Cranbrook Road,",BELLEVUE HILL,NSW,2023,4,4,4,0,UPDATED,GAVIN RUBINSTEIN,House
Sebastian Maxwell,Maxwell Property,Auction,"5/268 Old South Head Road,",BELLEVUE HILL,NSW,2023,2,2,1,0,UPDATED,Sebastian Maxwell,Apartment / Unit / Flat
Brad Pillinger,Pillinger,Contact Agent,"9/32 Benelong Crescent,",BELLEVUE HILL,NSW,2023,3,1,0,0,,Brad Pillinger,Apartment / Unit / Flat
Alex Lyons,Raine & Horne Double Bay,Auction,"19 Warren Road,",BELLEVUE HILL,NSW,2023,5,3,2,733m²,,Alex  Lyons,House
Nathan Ryland,Ray White Double Bay,Auction,"401/208 Old South Head Road,",BELLEVUE HILL,NSW,2023,2,2,1,0,,Nathan Ryland,Apartment / Unit / Flat
Michael Pallier,Sydney Sotheby's International Realty,"For Sale $6,900,000","94 Balfour Road,",BELLEVUE HILL,NSW,2023,3,1,2,430m²,,Michael Pallier,House
,,"$1,700,000","4/34 Fairfax Road,",BELLEVUE HILL,NSW,2023,2,1,1,0,SOLD,"Picture of 4/34 Fairfax Road, BELLEVUE HILL NSW 2023",Apartment / Unit / Flat
,,"$2,365,000","6/8 Benelong Crescent,",BELLEVUE HILL,NSW,2023,2,2,2,0,SOLD,"Picture of 6/8 Benelong Crescent, BELLEVUE HILL NSW 2023",Apartment / Unit / Flat
,,"$23,750,000","22 Cranbrook Road,",BELLEVUE HILL,NSW,2023,5,4,4,0,SOLD,"Picture of 22 Cranbrook Road, BELLEVUE HILL NSW 2023",House
Clint Ballard,Sydney Sotheby's International Realty,Auction,"148B Bellevue Road,",BELLEVUE HILL,NSW,2023,4,3,3,0,,"Picture of 148B Bellevue Road, BELLEVUE HILL NSW 2023",Duplex
Ron Bauer,Ray White Unlimited,Auction Wed 26th Feb,"12/31 Birriga Road,",BELLEVUE HILL,NSW,2023,2,1,1,0,,"Picture of 12/31 Birriga Road, BELLEVUE HILL NSW 2023",Apartment / Unit / Flat
PATRICK COSGROVE,TRG,Contact Agent,"1/4 Aston Gardens,",BELLEVUE HILL,NSW,2023,2,1,0,0,,PATRICK COSGROVE,Apartment / Unit / Flat
Alexander George,Bradfield BadgerFox,AUCTION,"129 O'Sullivan Road,",BELLEVUE HILL,NSW,2023,6,4,2,0,,Alexander George,House
Joshua Allen,JT Allen Real Estate,Auction,"3/257 O'Sullivan Road,",BELLEVUE HILL,NSW,2023,3,2,2,0,,Joshua Allen,House
